계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,647.0,801.0,1027.0,nan,nan,nan,nan,nan
Operating Income,49.0,79.0,57.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),49.0,79.0,57.0,nan,nan,nan,0.0,nan
Net Income,25.0,80.0,48.0,nan,nan,nan,nan,nan
Net Income(Contr.),25.0,80.0,48.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1194.0,1308.0,1347.0,nan,nan,nan,1347.0,nan
Total Liabilities,364.0,405.0,416.0,nan,nan,nan,416.0,nan
Total Equity,830.0,903.0,931.0,nan,nan,nan,931.0,nan
Net Income(Contr.),830.0,903.0,931.0,nan,nan,nan,931.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,26.0,26.0,26.0,nan,nan,nan,26.0,nan
Total Debt/Equity,43.79,44.86,44.64,nan,nan,nan,44.64,nan
Reserve Ratio,3048.38,3320.42,3427.93,nan,nan,nan,3427.93,nan
Oper.Income Margin,7.54,9.87,5.51,nan,nan,nan,nan,nan
Net Income Margin,3.83,9.93,4.66,nan,nan,nan,nan,nan
ROA,2.08,6.36,3.6,nan,nan,nan,nan,nan
ROE,3.02,9.18,5.22,nan,nan,nan,nan,nan
EPS(KRW),188.0,603.0,362.0,nan,nan,nan,0.0,nan
BPS(KRW),6297.0,6841.0,7056.0,nan,nan,nan,7056.0,nan
DPS(KRW),nan,100.0,nan,nan,nan,nan,nan,nan
PER,49.86,16.13,19.42,nan,nan,nan,nan,nan
PBR,1.49,1.42,1.0,nan,nan,nan,1.0,nan
Issued Shares,13193.0,13202.0,13202.0,nan,nan,nan,13202.0,nan
Div Yield,nan,1.03,nan,nan,nan,nan,nan,nan
