계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1706.0,2250.0,1929.0,nan,390.0,444.0,763.0,nan
Operating Income,85.0,140.0,107.0,nan,17.0,25.0,64.0,nan
Oper.Income(Rep.),85.0,140.0,107.0,nan,17.0,25.0,64.0,nan
Net Income,61.0,105.0,96.0,nan,14.0,18.0,64.0,nan
Net Income(Contr.),61.0,105.0,95.0,nan,14.0,17.0,64.0,nan
Net Income(Minor.),nan,0.0,1.0,nan,-0.0,1.0,0.0,nan
Total Assets,1193.0,1260.0,1381.0,nan,1144.0,1137.0,1381.0,nan
Total Liabilities,840.0,793.0,834.0,nan,674.0,649.0,834.0,nan
Total Equity,353.0,467.0,547.0,nan,470.0,488.0,547.0,nan
Net Income(Contr.),353.0,460.0,539.0,nan,463.0,480.0,539.0,nan
Net Income(Minor.),0.0,7.0,8.0,nan,7.0,8.0,8.0,nan
Capital Stock,59.0,59.0,65.0,nan,65.0,65.0,65.0,nan
Total Debt/Equity,237.66,169.72,152.52,nan,143.38,133.04,152.52,nan
Reserve Ratio,511.53,675.64,726.12,nan,610.03,635.81,726.12,nan
Oper.Income Margin,5.0,6.2,5.52,nan,4.3,5.66,8.32,nan
Net Income Margin,3.56,4.65,4.95,nan,3.51,3.79,8.33,nan
ROA,6.19,8.53,7.31,nan,4.65,6.29,20.22,nan
ROE,18.86,25.71,19.12,nan,12.0,14.3,49.96,nan
EPS(KRW),465.0,801.0,732.0,nan,105.0,129.0,487.0,nan
BPS(KRW),2780.0,3526.0,4131.0,nan,3550.0,3679.0,4131.0,nan
DPS(KRW),45.0,91.0,100.0,nan,nan,nan,100.0,nan
PER,16.63,14.63,11.54,nan,nan,nan,nan,nan
PBR,2.78,3.32,2.04,nan,2.45,1.93,2.04,nan
Issued Shares,13046.0,13046.0,13046.0,nan,13046.0,13046.0,13046.0,nan
Div Yield,0.59,0.78,1.18,nan,nan,nan,1.18,nan
