계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,727.0,572.0,472.0,nan,77.0,53.0,262.0,nan
Operating Income,133.0,43.0,42.0,nan,-32.0,-11.0,80.0,nan
Oper.Income(Rep.),133.0,43.0,42.0,nan,-32.0,-11.0,80.0,nan
Net Income,108.0,72.0,78.0,nan,-10.0,-16.0,93.0,nan
Net Income(Contr.),108.0,72.0,78.0,nan,-10.0,-16.0,93.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1683.0,1826.0,2039.0,nan,1744.0,1724.0,2039.0,nan
Total Liabilities,339.0,441.0,601.0,nan,368.0,372.0,601.0,nan
Total Equity,1344.0,1385.0,1437.0,nan,1376.0,1352.0,1437.0,nan
Net Income(Contr.),1344.0,1385.0,1437.0,nan,1376.0,1352.0,1437.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,35.0,35.0,35.0,nan,35.0,35.0,35.0,nan
Total Debt/Equity,25.23,31.84,41.83,nan,26.73,27.49,41.83,nan
Reserve Ratio,3783.26,3944.14,4141.37,nan,3918.95,3876.72,4141.37,nan
Oper.Income Margin,18.32,7.54,8.95,nan,-41.5,-21.22,30.52,nan
Net Income Margin,14.85,12.59,16.54,nan,-12.78,-30.07,35.65,nan
ROA,6.09,4.1,4.04,nan,-2.2,-3.69,19.86,nan
ROE,8.19,5.27,5.53,nan,-2.84,-4.69,26.79,nan
EPS(KRW),1535.0,1023.0,1108.0,nan,-139.0,-227.0,1328.0,nan
BPS(KRW),19416.0,20221.0,21207.0,nan,20095.0,19884.0,21207.0,nan
DPS(KRW),210.0,100.0,200.0,nan,nan,nan,200.0,nan
PER,9.02,14.42,10.79,nan,nan,nan,nan,nan
PBR,0.71,0.73,0.56,nan,0.85,0.78,0.56,nan
Issued Shares,7037.0,7037.0,7037.0,nan,7037.0,7037.0,7037.0,nan
Div Yield,1.52,0.68,1.67,nan,nan,nan,1.67,nan
