계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,7217.0,5006.0,3782.0,nan,916.0,927.0,787.0,nan
Operating Income,258.0,72.0,-117.0,nan,-17.0,-46.0,-78.0,nan
Oper.Income(Rep.),258.0,72.0,-117.0,nan,-17.0,-46.0,-78.0,nan
Net Income,77.0,-141.0,-196.0,nan,-31.0,-58.0,-129.0,nan
Net Income(Contr.),63.0,-140.0,-193.0,nan,-30.0,-57.0,-127.0,nan
Net Income(Minor.),14.0,-1.0,-3.0,nan,-1.0,-2.0,-1.0,nan
Total Assets,3512.0,2606.0,2511.0,nan,2550.0,2270.0,2511.0,nan
Total Liabilities,2212.0,1775.0,1722.0,nan,1646.0,1480.0,1722.0,nan
Total Equity,1300.0,831.0,789.0,nan,904.0,789.0,789.0,nan
Net Income(Contr.),1041.0,807.0,760.0,nan,881.0,761.0,760.0,nan
Net Income(Minor.),259.0,24.0,29.0,nan,23.0,28.0,29.0,nan
Capital Stock,369.0,369.0,369.0,nan,369.0,369.0,369.0,nan
Total Debt/Equity,170.16,213.57,218.36,nan,182.11,187.56,218.36,nan
Reserve Ratio,186.01,122.64,109.74,nan,142.59,110.18,109.74,nan
Oper.Income Margin,3.58,1.43,-3.1,nan,-1.86,-4.98,-9.85,nan
Net Income Margin,0.87,-2.8,-5.11,nan,-3.31,-6.1,-16.2,nan
ROA,2.21,-4.6,-7.67,nan,-4.7,-9.64,-21.57,nan
ROE,6.59,-15.15,-24.65,nan,-13.82,-27.55,-67.05,nan
EPS(KRW),85.0,-190.0,-262.0,nan,-41.0,-77.0,-173.0,nan
BPS(KRW),1430.0,1113.0,1049.0,nan,1213.0,1051.0,1049.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,20.6,nan,nan,nan,nan,nan,nan,nan
PBR,1.23,1.28,0.82,nan,1.08,1.07,0.82,nan
Issued Shares,73824.0,73824.0,73824.0,nan,73824.0,73824.0,73824.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
