계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,3289.0,1827.0,1449.0,1698.0,359.0,375.0,317.0,327.0
Operating Income,565.0,-80.0,-228.0,20.0,14.0,9.0,26.0,15.0
Oper.Income(Rep.),565.0,-80.0,-228.0,nan,14.0,9.0,26.0,nan
Net Income,428.0,-455.0,-323.0,20.0,-224.0,-53.0,219.0,nan
Net Income(Contr.),374.0,-418.0,-274.0,20.0,-218.0,-47.0,227.0,nan
Net Income(Minor.),55.0,-37.0,-49.0,nan,-5.0,-6.0,-8.0,nan
Total Assets,8187.0,9337.0,10079.0,9110.0,9427.0,9440.0,10079.0,nan
Total Liabilities,4238.0,5832.0,5929.0,4940.0,6411.0,6475.0,5929.0,nan
Total Equity,3948.0,3505.0,4149.0,4160.0,3016.0,2964.0,4149.0,nan
Net Income(Contr.),3431.0,2966.0,3659.0,3670.0,2511.0,2466.0,3659.0,nan
Net Income(Minor.),518.0,540.0,490.0,490.0,505.0,498.0,490.0,nan
Capital Stock,51.0,51.0,51.0,50.0,51.0,51.0,51.0,nan
Total Debt/Equity,107.34,166.37,142.91,118.75,212.54,218.43,142.91,nan
Reserve Ratio,6760.45,5841.33,7211.5,nan,4943.65,4853.87,7211.5,nan
Oper.Income Margin,17.17,-4.4,-15.7,1.18,3.9,2.48,8.05,4.59
Net Income Margin,11.36,-22.85,-18.91,1.18,-60.7,-12.52,71.72,nan
ROA,7.01,-5.19,-3.33,0.21,-9.64,-2.27,8.99,nan
ROE,11.9,-13.05,-8.27,0.55,-33.29,-7.56,29.69,nan
EPS(KRW),3736.0,-4175.0,-2740.0,200.0,-2181.0,-470.0,2273.0,nan
BPS(KRW),34714.0,30063.0,36996.0,37106.0,25521.0,25067.0,36996.0,nan
DPS(KRW),500.0,nan,nan,nan,nan,nan,nan,nan
PER,58.43,nan,nan,171.0,nan,nan,nan,nan
PBR,6.29,3.67,0.98,0.92,2.81,2.41,0.98,nan
Issued Shares,10000.0,10000.0,10000.0,nan,10000.0,10000.0,10000.0,nan
Div Yield,0.23,nan,nan,nan,nan,nan,nan,nan
