계정,2022/02,2023/02,2024/02,2025/02(P),2024/05,2024/08,2024/11,2025/02(P)
Sales,140.0,358.0,1500.0,3088.0,820.0,774.0,732.0,762.0
Operating Income,-401.0,-150.0,82.0,257.0,94.0,91.0,70.0,-23.0
Oper.Income(Rep.),-901.0,-150.0,219.0,257.0,111.0,91.0,78.0,-23.0
Net Income,-923.0,-143.0,205.0,248.0,115.0,71.0,67.0,-5.0
Net Income(Contr.),-920.0,-141.0,205.0,nan,115.0,71.0,67.0,nan
Net Income(Minor.),-4.0,-2.0,-1.0,nan,-0.0,0.0,0.0,nan
Total Assets,2708.0,2653.0,2635.0,nan,2796.0,2961.0,2982.0,nan
Total Liabilities,2395.0,1986.0,1818.0,nan,1779.0,1834.0,1786.0,nan
Total Equity,313.0,667.0,816.0,nan,1016.0,1127.0,1195.0,nan
Net Income(Contr.),341.0,697.0,855.0,nan,1016.0,1127.0,1195.0,nan
Net Income(Minor.),-28.0,-30.0,-39.0,nan,0.0,0.0,0.0,nan
Capital Stock,506.0,723.0,9.0,nan,31.0,32.0,32.0,nan
Total Debt/Equity,764.87,297.51,222.77,nan,175.07,162.67,149.42,nan
Reserve Ratio,nan,nan,9549.01,nan,3207.25,3393.49,3608.27,nan
Oper.Income Margin,-287.06,-41.98,5.44,nan,11.42,11.82,9.57,nan
Net Income Margin,-658.27,-39.33,13.68,8.03,14.02,9.17,9.12,-0.6
ROA,-28.54,-5.34,7.74,nan,16.93,9.86,8.99,nan
ROE,-114.53,-27.13,26.45,nan,49.14,26.48,23.01,nan
EPS(KRW),-2627.0,-369.0,408.0,479.0,222.0,137.0,129.0,-9.0
BPS(KRW),975.0,1391.0,1700.0,nan,1964.0,2179.0,2310.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,11.01,nan,nan,nan,nan,nan
PBR,4.17,3.26,2.64,nan,2.67,2.12,1.77,nan
Issued Shares,35006.0,50093.0,50289.0,nan,51746.0,51746.0,51746.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
