계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,161.0,239.0,372.0,nan,100.0,96.0,109.0,nan
Operating Income,46.0,-19.0,3.0,nan,6.0,-2.0,3.0,nan
Oper.Income(Rep.),46.0,-19.0,3.0,nan,6.0,-2.0,3.0,nan
Net Income,-67.0,-9.0,-17.0,nan,-1.0,-2.0,-7.0,nan
Net Income(Contr.),-67.0,-9.0,-20.0,nan,-1.0,-3.0,-9.0,nan
Net Income(Minor.),-0.0,-0.0,3.0,nan,0.0,0.0,2.0,nan
Total Assets,853.0,1121.0,1162.0,nan,1266.0,1201.0,1162.0,nan
Total Liabilities,453.0,631.0,700.0,nan,786.0,731.0,700.0,nan
Total Equity,400.0,490.0,462.0,nan,480.0,470.0,462.0,nan
Net Income(Contr.),400.0,398.0,368.0,nan,388.0,377.0,368.0,nan
Net Income(Minor.),1.0,91.0,94.0,nan,92.0,92.0,94.0,nan
Capital Stock,160.0,161.0,161.0,nan,161.0,161.0,161.0,nan
Total Debt/Equity,113.03,128.86,151.37,nan,163.67,155.67,151.37,nan
Reserve Ratio,149.76,147.76,135.15,nan,141.52,139.88,135.15,nan
Oper.Income Margin,28.57,-7.97,0.85,nan,5.93,-2.28,3.16,nan
Net Income Margin,-41.53,-3.81,-5.38,nan,-1.16,-2.75,-7.8,nan
ROA,-8.88,-0.93,-1.5,nan,-0.35,-0.75,-2.29,nan
ROE,-21.34,-2.28,-5.23,nan,-1.19,-2.75,-9.14,nan
EPS(KRW),-208.0,-28.0,-62.0,nan,-4.0,-8.0,-26.0,nan
BPS(KRW),1249.0,1239.0,1176.0,nan,1208.0,1199.0,1176.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,3.32,2.62,1.44,nan,1.85,1.5,1.44,nan
Issued Shares,32004.0,32164.0,32164.0,nan,32164.0,32164.0,32164.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
