계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,191.0,173.0,202.0,nan,49.0,49.0,56.0,nan
Operating Income,-3.0,10.0,15.0,nan,2.0,2.0,8.0,nan
Oper.Income(Rep.),-3.0,10.0,15.0,nan,2.0,2.0,8.0,nan
Net Income,-496.0,-260.0,84.0,nan,-16.0,5.0,-31.0,nan
Net Income(Contr.),-496.0,-145.0,93.0,nan,-17.0,5.0,-31.0,nan
Net Income(Minor.),nan,-115.0,-9.0,nan,1.0,nan,0.0,nan
Total Assets,1899.0,1553.0,1567.0,nan,1217.0,1306.0,1567.0,nan
Total Liabilities,603.0,176.0,410.0,nan,37.0,122.0,410.0,nan
Total Equity,1296.0,1377.0,1157.0,nan,1179.0,1184.0,1157.0,nan
Net Income(Contr.),992.0,1059.0,1157.0,nan,1179.0,1184.0,1157.0,nan
Net Income(Minor.),303.0,318.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,535.0,769.0,824.0,nan,769.0,824.0,824.0,nan
Total Debt/Equity,46.52,12.78,35.46,nan,3.16,10.27,35.46,nan
Reserve Ratio,85.53,37.65,40.41,nan,53.27,43.74,40.41,nan
Oper.Income Margin,-1.57,5.54,7.45,nan,3.41,4.22,13.87,nan
Net Income Margin,-259.47,-84.26,45.91,nan,-35.34,9.86,-55.21,nan
ROA,-27.07,-15.08,5.37,nan,-5.36,1.52,-8.52,nan
ROE,-45.33,-14.18,8.37,nan,-5.79,1.62,-10.56,nan
EPS(KRW),-505.0,-100.0,59.0,nan,-11.0,3.0,-19.0,nan
BPS(KRW),928.0,688.0,702.0,nan,766.0,719.0,702.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,4.81,nan,nan,nan,nan,nan
PBR,0.56,0.58,0.4,nan,0.63,0.5,0.4,nan
Issued Shares,84705.0,142777.0,164777.0,nan,142777.0,164777.0,164777.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
