계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,581.0,628.0,819.0,nan,239.0,229.0,171.0,nan
Operating Income,-29.0,-58.0,26.0,nan,35.0,15.0,-33.0,nan
Oper.Income(Rep.),-29.0,-58.0,26.0,nan,35.0,15.0,-33.0,nan
Net Income,-107.0,16.0,-83.0,nan,-27.0,60.0,-133.0,nan
Net Income(Contr.),-107.0,16.0,-83.0,nan,-27.0,60.0,-133.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1206.0,1344.0,1440.0,nan,1385.0,1456.0,1440.0,nan
Total Liabilities,496.0,140.0,284.0,nan,166.0,177.0,284.0,nan
Total Equity,709.0,1204.0,1156.0,nan,1219.0,1279.0,1156.0,nan
Net Income(Contr.),709.0,1204.0,1156.0,nan,1219.0,1279.0,1156.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,160.0,296.0,298.0,nan,298.0,298.0,298.0,nan
Total Debt/Equity,69.94,11.61,24.56,nan,13.63,13.81,24.56,nan
Reserve Ratio,342.48,306.92,288.15,nan,309.09,329.35,288.15,nan
Oper.Income Margin,-4.93,-9.19,3.13,nan,14.53,6.56,-19.51,nan
Net Income Margin,-18.42,2.48,-10.12,nan,-11.38,26.07,-77.92,nan
ROA,-8.78,1.22,-5.96,nan,-7.83,16.78,-36.77,nan
ROE,-17.58,1.63,-7.03,nan,-8.85,19.08,-43.72,nan
EPS(KRW),-306.0,28.0,-139.0,nan,-46.0,100.0,-223.0,nan
BPS(KRW),2032.0,2035.0,1941.0,nan,2045.0,2147.0,1941.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,135.55,nan,nan,nan,nan,nan,nan
PBR,0.81,1.84,0.93,nan,1.22,1.12,0.93,nan
Issued Shares,34918.0,59194.0,59590.0,nan,59590.0,59590.0,59590.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
