계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1448.0,711.0,859.0,nan,222.0,217.0,221.0,nan
Operating Income,662.0,-69.0,-185.0,nan,-29.0,-38.0,-56.0,nan
Oper.Income(Rep.),662.0,-69.0,-185.0,nan,-29.0,-38.0,-56.0,nan
Net Income,479.0,-52.0,-239.0,nan,2.0,-27.0,-123.0,nan
Net Income(Contr.),484.0,-47.0,-238.0,nan,2.0,-27.0,-123.0,nan
Net Income(Minor.),-5.0,-6.0,-1.0,nan,-0.0,nan,0.0,nan
Total Assets,2507.0,3135.0,2957.0,nan,3044.0,2953.0,2957.0,nan
Total Liabilities,401.0,853.0,793.0,nan,787.0,767.0,793.0,nan
Total Equity,2105.0,2281.0,2163.0,nan,2257.0,2186.0,2163.0,nan
Net Income(Contr.),2093.0,2278.0,2163.0,nan,2257.0,2186.0,2163.0,nan
Net Income(Minor.),12.0,3.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,171.0,372.0,372.0,nan,372.0,372.0,372.0,nan
Total Debt/Equity,19.07,37.4,36.68,nan,34.88,35.06,36.68,nan
Reserve Ratio,1127.34,512.69,481.81,nan,507.07,488.05,481.81,nan
Oper.Income Margin,45.73,-9.74,-21.53,nan,-13.05,-17.6,-25.55,nan
Net Income Margin,33.43,-6.58,-27.7,nan,1.02,-12.51,-55.68,nan
ROA,21.07,-1.86,-7.85,nan,0.27,-3.61,-16.66,nan
ROE,26.37,-2.14,-10.72,nan,0.4,-4.88,-22.63,nan
EPS(KRW),710.0,-63.0,-321.0,nan,3.0,-37.0,-166.0,nan
BPS(KRW),3079.0,3068.0,2914.0,nan,3040.0,2945.0,2914.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,4.43,nan,nan,nan,nan,nan,nan,nan
PBR,1.02,1.26,0.85,nan,0.72,1.13,0.85,nan
Issued Shares,67983.0,74240.0,74240.0,nan,74240.0,74240.0,74240.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
