계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,991.0,993.0,1101.0,nan,nan,nan,nan,nan
Operating Income,27.0,13.0,1.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),27.0,13.0,1.0,nan,nan,nan,0.0,nan
Net Income,24.0,16.0,2.0,nan,nan,nan,nan,nan
Net Income(Contr.),24.0,16.0,2.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,696.0,792.0,719.0,nan,nan,nan,719.0,nan
Total Liabilities,382.0,456.0,379.0,nan,nan,nan,379.0,nan
Total Equity,313.0,335.0,340.0,nan,nan,nan,340.0,nan
Net Income(Contr.),313.0,335.0,340.0,nan,nan,nan,340.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,81.0,81.0,81.0,nan,nan,nan,81.0,nan
Total Debt/Equity,121.94,136.09,111.42,nan,nan,nan,111.42,nan
Reserve Ratio,286.87,313.7,319.47,nan,nan,nan,319.47,nan
Oper.Income Margin,2.68,1.27,0.05,nan,nan,nan,nan,nan
Net Income Margin,2.42,1.62,0.21,nan,nan,nan,nan,nan
ROA,3.31,2.16,0.31,nan,nan,nan,nan,nan
ROE,8.05,4.96,0.7,nan,nan,nan,nan,nan
EPS(KRW),148.0,99.0,15.0,nan,nan,nan,0.0,nan
BPS(KRW),1934.0,2069.0,2097.0,nan,nan,nan,2097.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,36.88,51.58,305.58,nan,nan,nan,nan,nan
PBR,2.83,2.48,2.12,nan,nan,nan,2.12,nan
Issued Shares,16204.0,16216.0,16219.0,nan,nan,nan,16219.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
