계정,2024/04,2024/07,2024/10,2025/01(P),2024/04,2024/07,2024/10,2025/01(P)
Sales,94.0,94.0,102.0,nan,94.0,94.0,102.0,nan
Operating Income,64.0,61.0,59.0,nan,64.0,61.0,59.0,nan
Oper.Income(Rep.),64.0,61.0,59.0,nan,64.0,61.0,59.0,nan
Net Income,17.0,9.0,4.0,nan,17.0,9.0,4.0,nan
Net Income(Contr.),17.0,9.0,4.0,nan,17.0,9.0,4.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,7378.0,7337.0,8827.0,nan,7378.0,7337.0,8827.0,nan
Total Liabilities,3727.0,3732.0,4632.0,nan,3727.0,3732.0,4632.0,nan
Total Equity,3651.0,3605.0,4195.0,nan,3651.0,3605.0,4195.0,nan
Net Income(Contr.),3651.0,3605.0,4195.0,nan,3651.0,3605.0,4195.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,387.0,387.0,455.0,nan,387.0,387.0,455.0,nan
Total Debt/Equity,102.1,103.53,110.44,nan,102.1,103.53,110.44,nan
Reserve Ratio,844.55,832.7,821.36,nan,844.55,832.7,821.36,nan
Oper.Income Margin,68.21,64.88,58.23,nan,68.21,64.88,58.23,nan
Net Income Margin,17.92,9.53,3.55,nan,17.92,9.53,3.55,nan
ROA,0.23,0.12,0.04,nan,0.91,0.49,0.18,nan
ROE,0.46,0.25,0.09,nan,1.84,0.99,0.37,nan
EPS(KRW),22.0,11.0,4.0,nan,22.0,11.0,4.0,nan
BPS(KRW),4673.0,4614.0,4607.0,nan,4673.0,4614.0,4607.0,nan
DPS(KRW),70.0,271.0,66.0,nan,70.0,271.0,66.0,nan
PER,231.28,441.8,1086.23,nan,nan,nan,nan,nan
PBR,1.07,1.1,1.02,nan,1.07,1.1,1.02,nan
Issued Shares,78123.0,78123.0,91050.0,nan,78123.0,78123.0,91050.0,nan
Div Yield,1.41,5.35,1.41,nan,1.41,5.35,1.41,nan
