계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,7642.0,8544.0,12022.0,nan,nan,nan,nan,nan
Operating Income,-295.0,87.0,715.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-295.0,87.0,715.0,nan,nan,nan,0.0,nan
Net Income,-403.0,-4.0,792.0,nan,nan,nan,nan,nan
Net Income(Contr.),-403.0,-4.0,792.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,9562.0,11369.0,14131.0,nan,nan,nan,14131.0,nan
Total Liabilities,7346.0,9127.0,10198.0,nan,nan,nan,10198.0,nan
Total Equity,2216.0,2241.0,3933.0,nan,nan,nan,3933.0,nan
Net Income(Contr.),2216.0,2241.0,3933.0,nan,nan,nan,3933.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,715.0,715.0,834.0,nan,nan,nan,834.0,nan
Total Debt/Equity,331.46,407.19,259.3,nan,nan,nan,259.3,nan
Reserve Ratio,209.99,213.51,371.49,nan,nan,nan,371.49,nan
Oper.Income Margin,-3.86,1.02,5.95,nan,nan,nan,nan,nan
Net Income Margin,-5.27,-0.05,6.58,nan,nan,nan,nan,nan
ROA,-4.6,-0.04,6.21,nan,nan,nan,nan,nan
ROE,-18.7,-0.19,25.64,nan,nan,nan,nan,nan
EPS(KRW),-626.0,-6.0,971.0,nan,nan,nan,0.0,nan
BPS(KRW),3100.0,3135.0,4715.0,nan,nan,nan,4715.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,19.0,nan,nan,nan,nan,nan
PBR,2.39,3.12,3.91,nan,nan,nan,3.91,nan
Issued Shares,71544.0,71544.0,83447.0,nan,nan,nan,83447.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
