계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1922.0,1636.0,1402.0,nan,nan,nan,nan,nan
Operating Income,30.0,-34.0,-21.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),30.0,-34.0,-21.0,nan,nan,nan,0.0,nan
Net Income,262.0,186.0,66.0,nan,nan,nan,nan,nan
Net Income(Contr.),262.0,186.0,66.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2069.0,2316.0,2242.0,nan,nan,nan,2242.0,nan
Total Liabilities,390.0,477.0,382.0,nan,nan,nan,382.0,nan
Total Equity,1679.0,1839.0,1860.0,nan,nan,nan,1860.0,nan
Net Income(Contr.),1679.0,1839.0,1860.0,nan,nan,nan,1860.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,103.0,103.0,103.0,nan,nan,nan,103.0,nan
Total Debt/Equity,23.24,25.95,20.55,nan,nan,nan,20.55,nan
Reserve Ratio,1555.06,1717.34,1756.04,nan,nan,nan,1756.04,nan
Oper.Income Margin,1.56,-2.1,-1.52,nan,nan,nan,nan,nan
Net Income Margin,13.64,11.34,4.72,nan,nan,nan,nan,nan
ROA,12.58,8.46,2.9,nan,nan,nan,nan,nan
ROE,16.87,10.55,3.58,nan,nan,nan,nan,nan
EPS(KRW),1279.0,905.0,323.0,nan,nan,nan,0.0,nan
BPS(KRW),8275.0,9087.0,9280.0,nan,nan,nan,9280.0,nan
DPS(KRW),50.0,50.0,50.0,nan,nan,nan,50.0,nan
PER,2.52,3.45,7.19,nan,nan,nan,nan,nan
PBR,0.39,0.34,0.25,nan,nan,nan,0.25,nan
Issued Shares,20504.0,20504.0,20504.0,nan,nan,nan,20504.0,nan
Div Yield,1.55,1.6,2.16,nan,nan,nan,2.16,nan
