계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1486.0,1147.0,1024.0,nan,nan,nan,nan,nan
Operating Income,119.0,-56.0,48.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),119.0,-56.0,48.0,nan,nan,nan,0.0,nan
Net Income,86.0,-90.0,6.0,nan,nan,nan,nan,nan
Net Income(Contr.),86.0,-90.0,6.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1300.0,1186.0,1199.0,nan,nan,nan,1199.0,nan
Total Liabilities,686.0,663.0,672.0,nan,nan,nan,672.0,nan
Total Equity,615.0,523.0,527.0,nan,nan,nan,527.0,nan
Net Income(Contr.),615.0,523.0,527.0,nan,nan,nan,527.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,260.0,260.0,260.0,nan,nan,nan,260.0,nan
Total Debt/Equity,111.52,126.81,127.66,nan,nan,nan,127.66,nan
Reserve Ratio,136.83,101.41,102.92,nan,nan,nan,102.92,nan
Oper.Income Margin,8.02,-4.87,4.71,nan,nan,nan,nan,nan
Net Income Margin,5.81,-7.88,0.62,nan,nan,nan,nan,nan
ROA,7.39,-7.27,0.54,nan,nan,nan,nan,nan
ROE,15.06,-15.89,1.22,nan,nan,nan,nan,nan
EPS(KRW),1664.0,-1740.0,123.0,nan,nan,nan,0.0,nan
BPS(KRW),11841.0,10070.0,10146.0,nan,nan,nan,10146.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,9.2,nan,85.18,nan,nan,nan,nan,nan
PBR,1.29,1.39,1.03,nan,nan,nan,1.03,nan
Issued Shares,5192.0,5192.0,5192.0,nan,nan,nan,5192.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
