계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,2060.0,2306.0,2641.0,nan,641.0,712.0,655.0,nan
Operating Income,-235.0,-70.0,51.0,nan,10.0,4.0,20.0,nan
Oper.Income(Rep.),-235.0,-70.0,51.0,nan,10.0,4.0,20.0,nan
Net Income,-235.0,-197.0,39.0,nan,29.0,-3.0,2.0,nan
Net Income(Contr.),-235.0,-197.0,39.0,nan,29.0,-3.0,2.0,nan
Net Income(Minor.),nan,-1.0,0.0,nan,0.0,-0.0,0.0,nan
Total Assets,1281.0,1440.0,1425.0,nan,1523.0,1444.0,1425.0,nan
Total Liabilities,837.0,1051.0,998.0,nan,1094.0,1021.0,998.0,nan
Total Equity,443.0,390.0,427.0,nan,429.0,423.0,427.0,nan
Net Income(Contr.),443.0,388.0,426.0,nan,428.0,422.0,426.0,nan
Net Income(Minor.),0.0,1.0,2.0,nan,2.0,1.0,2.0,nan
Capital Stock,300.0,300.0,300.0,nan,300.0,300.0,300.0,nan
Total Debt/Equity,188.85,269.59,233.53,nan,254.87,241.54,233.53,nan
Reserve Ratio,50.23,31.89,44.26,nan,44.93,42.96,44.26,nan
Oper.Income Margin,-11.43,-3.03,1.93,nan,1.58,0.49,3.08,nan
Net Income Margin,-11.4,-8.53,1.46,nan,4.49,-0.42,0.29,nan
ROA,-17.99,-14.5,2.73,nan,7.73,-0.9,0.63,nan
ROE,-42.38,-47.3,9.5,nan,27.87,-2.83,1.76,nan
EPS(KRW),-391.0,-328.0,64.0,nan,48.0,-5.0,3.0,nan
BPS(KRW),751.0,659.0,721.0,nan,725.0,715.0,721.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,8.97,nan,nan,nan,nan,nan
PBR,1.02,0.87,0.8,nan,0.72,0.83,0.8,nan
Issued Shares,59992.0,59992.0,59992.0,nan,59992.0,59992.0,59992.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
