계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,2841.0,3290.0,3748.0,nan,923.0,955.0,991.0,nan
Operating Income,59.0,93.0,83.0,nan,42.0,26.0,-15.0,nan
Oper.Income(Rep.),59.0,93.0,83.0,nan,42.0,26.0,-15.0,nan
Net Income,35.0,64.0,77.0,nan,30.0,11.0,17.0,nan
Net Income(Contr.),35.0,64.0,77.0,nan,30.0,11.0,17.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2439.0,2513.0,2681.0,nan,2557.0,2633.0,2681.0,nan
Total Liabilities,1313.0,1340.0,1435.0,nan,1337.0,1398.0,1435.0,nan
Total Equity,1126.0,1173.0,1246.0,nan,1220.0,1234.0,1246.0,nan
Net Income(Contr.),1126.0,1173.0,1246.0,nan,1220.0,1234.0,1246.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,97.0,97.0,97.0,nan,97.0,97.0,97.0,nan
Total Debt/Equity,116.58,114.23,115.23,nan,109.6,113.29,115.23,nan
Reserve Ratio,1065.51,1114.45,1189.5,nan,1162.64,1177.85,1189.5,nan
Oper.Income Margin,2.09,2.84,2.23,nan,4.58,2.68,-1.49,nan
Net Income Margin,1.25,1.94,2.06,nan,3.3,1.16,1.71,nan
ROA,1.51,2.58,2.97,nan,4.84,1.7,2.55,nan
ROE,3.22,5.55,6.38,nan,10.14,3.6,5.45,nan
EPS(KRW),184.0,330.0,399.0,nan,158.0,57.0,88.0,nan
BPS(KRW),5828.0,6072.0,6448.0,nan,6313.0,6389.0,6448.0,nan
DPS(KRW),15.0,45.0,45.0,nan,nan,nan,45.0,nan
PER,25.17,15.71,8.59,nan,nan,nan,nan,nan
PBR,0.79,0.85,0.53,nan,0.72,0.69,0.53,nan
Issued Shares,19321.0,19321.0,19321.0,nan,19321.0,19321.0,19321.0,nan
Div Yield,0.32,0.87,1.31,nan,nan,nan,1.31,nan
