계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,203.0,160.0,95.0,nan,nan,nan,nan,nan
Operating Income,18.0,4.0,-44.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),18.0,4.0,-44.0,nan,nan,nan,0.0,nan
Net Income,18.0,16.0,-209.0,nan,nan,nan,nan,nan
Net Income(Contr.),18.0,16.0,-209.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,287.0,389.0,514.0,nan,nan,nan,514.0,nan
Total Liabilities,60.0,146.0,139.0,nan,nan,nan,139.0,nan
Total Equity,227.0,243.0,375.0,nan,nan,nan,375.0,nan
Net Income(Contr.),227.0,243.0,375.0,nan,nan,nan,375.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,19.0,19.0,28.0,nan,nan,nan,28.0,nan
Total Debt/Equity,26.46,60.14,37.02,nan,nan,nan,37.02,nan
Reserve Ratio,1128.32,1212.73,1242.0,nan,nan,nan,1242.0,nan
Oper.Income Margin,8.89,2.46,-46.52,nan,nan,nan,nan,nan
Net Income Margin,8.74,9.78,-220.55,nan,nan,nan,nan,nan
ROA,6.64,4.62,-46.17,nan,nan,nan,nan,nan
ROE,8.08,6.64,-67.46,nan,nan,nan,nan,nan
EPS(KRW),96.0,84.0,-878.0,nan,nan,nan,0.0,nan
BPS(KRW),1228.0,1313.0,1342.0,nan,nan,nan,1342.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,23.66,25.05,nan,nan,nan,nan,nan,nan
PBR,1.84,1.61,1.9,nan,nan,nan,1.9,nan
Issued Shares,18499.0,18499.0,27966.0,nan,nan,nan,27966.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
