계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,6142.0,6494.0,6684.0,nan,1803.0,1646.0,1589.0,nan
Operating Income,-10.0,45.0,-63.0,nan,30.0,-140.0,28.0,nan
Oper.Income(Rep.),-10.0,45.0,-63.0,nan,30.0,-140.0,28.0,nan
Net Income,46.0,81.0,257.0,nan,79.0,-100.0,225.0,nan
Net Income(Contr.),42.0,76.0,255.0,nan,78.0,-97.0,221.0,nan
Net Income(Minor.),4.0,5.0,1.0,nan,1.0,-3.0,5.0,nan
Total Assets,5536.0,6222.0,7648.0,nan,6874.0,7141.0,7648.0,nan
Total Liabilities,3732.0,4262.0,5389.0,nan,4684.0,5085.0,5389.0,nan
Total Equity,1804.0,1961.0,2259.0,nan,2189.0,2056.0,2259.0,nan
Net Income(Contr.),1770.0,1921.0,2216.0,nan,2148.0,2019.0,2216.0,nan
Net Income(Minor.),34.0,40.0,43.0,nan,41.0,37.0,43.0,nan
Capital Stock,501.0,556.0,556.0,nan,556.0,556.0,556.0,nan
Total Debt/Equity,206.89,217.38,238.52,nan,213.95,247.35,238.52,nan
Reserve Ratio,253.06,245.17,298.25,nan,286.05,262.77,298.25,nan
Oper.Income Margin,-0.16,0.69,-0.95,nan,1.69,-8.48,1.75,nan
Net Income Margin,0.68,1.17,3.82,nan,4.33,-5.87,13.89,nan
ROA,0.82,1.37,3.7,nan,4.77,-5.72,12.18,nan
ROE,2.43,4.12,12.34,nan,15.15,-18.56,41.68,nan
EPS(KRW),46.0,68.0,229.0,nan,70.0,-87.0,198.0,nan
BPS(KRW),1765.0,1726.0,1991.0,nan,1930.0,1814.0,1991.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,13.22,8.71,2.12,nan,nan,nan,nan,nan
PBR,0.35,0.34,0.24,nan,0.32,0.32,0.24,nan
Issued Shares,100273.0,111293.0,111293.0,nan,111293.0,111293.0,111293.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
