계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,554.0,858.0,1240.0,nan,nan,nan,nan,nan
Operating Income,81.0,40.0,94.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),81.0,40.0,94.0,nan,nan,0.0,0.0,nan
Net Income,70.0,55.0,99.0,nan,nan,nan,nan,nan
Net Income(Contr.),68.0,72.0,105.0,nan,nan,nan,nan,nan
Net Income(Minor.),2.0,-17.0,-5.0,nan,nan,nan,nan,nan
Total Assets,719.0,931.0,980.0,nan,nan,1020.0,980.0,nan
Total Liabilities,370.0,526.0,462.0,nan,nan,579.0,462.0,nan
Total Equity,349.0,405.0,518.0,nan,nan,440.0,518.0,nan
Net Income(Contr.),334.0,408.0,520.0,nan,nan,452.0,520.0,nan
Net Income(Minor.),15.0,-2.0,-2.0,nan,nan,-12.0,-2.0,nan
Capital Stock,11.0,32.0,32.0,nan,nan,32.0,32.0,nan
Total Debt/Equity,105.99,129.77,89.16,nan,nan,131.58,89.16,nan
Reserve Ratio,3023.2,1168.91,1519.12,nan,nan,1307.7,1519.12,nan
Oper.Income Margin,14.66,4.65,7.6,nan,nan,nan,nan,nan
Net Income Margin,12.21,8.41,8.43,nan,nan,nan,nan,nan
ROA,13.36,6.68,10.41,nan,nan,nan,0.0,nan
ROE,30.51,19.46,22.55,nan,nan,nan,0.0,nan
EPS(KRW),216.0,225.0,326.0,nan,nan,0.0,0.0,nan
BPS(KRW),1041.0,1269.0,1619.0,nan,nan,1408.0,1619.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,nan,nan,nan,nan,nan,nan,nan
Issued Shares,32118.0,32118.0,32118.0,nan,nan,32118.0,32118.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
