계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1567.0,1548.0,1301.0,1905.0,315.0,329.0,360.0,377.0
Operating Income,172.0,10.0,-308.0,150.0,-83.0,-47.0,-71.0,-26.0
Oper.Income(Rep.),172.0,10.0,-308.0,nan,-83.0,-47.0,-71.0,nan
Net Income,124.0,46.0,-352.0,134.0,-54.0,-118.0,-82.0,-33.0
Net Income(Contr.),124.0,47.0,-351.0,135.0,-53.0,-118.0,-82.0,nan
Net Income(Minor.),-1.0,-1.0,-1.0,nan,-0.0,-0.0,-0.0,nan
Total Assets,2984.0,2570.0,2794.0,2629.0,2772.0,2701.0,2794.0,nan
Total Liabilities,1061.0,757.0,978.0,997.0,928.0,999.0,978.0,nan
Total Equity,1923.0,1813.0,1816.0,1632.0,1844.0,1702.0,1816.0,nan
Net Income(Contr.),1916.0,1813.0,1814.0,1631.0,1845.0,1703.0,1814.0,nan
Net Income(Minor.),7.0,0.0,2.0,2.0,-1.0,-1.0,2.0,nan
Capital Stock,159.0,159.0,163.0,161.0,159.0,159.0,163.0,nan
Total Debt/Equity,55.19,41.74,53.84,61.06,50.31,58.65,53.84,nan
Reserve Ratio,1168.82,1103.97,1070.3,nan,1123.83,1034.58,1070.3,nan
Oper.Income Margin,10.96,0.67,-23.65,7.87,-26.25,-14.35,-19.84,-6.9
Net Income Margin,7.94,3.02,-26.97,7.07,-16.95,-35.89,-22.68,nan
ROA,4.33,1.65,-13.12,4.94,-8.15,-17.29,-11.93,-4.72
ROE,6.69,2.51,-19.34,7.82,-12.01,-26.63,-18.55,nan
EPS(KRW),392.0,147.0,-1073.0,412.0,-168.0,-372.0,-249.0,nan
BPS(KRW),6344.0,6020.0,5851.0,5291.0,6119.0,5673.0,5851.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,29.48,60.86,nan,38.18,nan,nan,nan,nan
PBR,1.82,1.49,3.13,2.97,2.43,4.34,3.13,nan
Issued Shares,31761.0,31761.0,32684.0,nan,31761.0,31761.0,32684.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
