계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,38873.0,46441.0,19075.0,22276.0,5548.0,3516.0,3654.0,3942.0
Operating Income,2663.0,-2223.0,-5587.0,-564.0,-842.0,-724.0,-1982.0,-706.0
Oper.Income(Rep.),2663.0,-2223.0,-5587.0,nan,-842.0,-724.0,-1982.0,nan
Net Income,2710.0,-1949.0,-3807.0,-700.0,-744.0,-770.0,-1177.0,-578.0
Net Income(Contr.),2700.0,-1943.0,-3779.0,-692.0,-738.0,-761.0,-1165.0,-444.0
Net Income(Minor.),10.0,-6.0,-28.0,nan,-7.0,-8.0,-11.0,nan
Total Assets,30239.0,33514.0,27998.0,32062.0,31716.0,30026.0,27998.0,nan
Total Liabilities,17386.0,22415.0,20765.0,25130.0,22505.0,21575.0,20765.0,nan
Total Equity,12853.0,11100.0,7233.0,6931.0,9211.0,8451.0,7233.0,nan
Net Income(Contr.),12797.0,10972.0,7136.0,7002.0,9093.0,8342.0,7136.0,nan
Net Income(Minor.),56.0,128.0,97.0,-70.0,118.0,109.0,97.0,nan
Capital Stock,180.0,181.0,181.0,180.0,181.0,181.0,181.0,nan
Total Debt/Equity,135.27,201.94,287.07,362.56,244.32,255.29,287.07,nan
Reserve Ratio,7046.16,5993.54,3871.82,nan,4950.66,4536.37,3871.82,nan
Oper.Income Margin,6.85,-4.79,-29.29,-2.53,-15.17,-20.59,-54.26,-17.92
Net Income Margin,6.95,-4.18,-19.81,-3.11,-13.29,-21.65,-31.9,-11.25
ROA,11.9,-6.11,-12.38,-2.33,-9.06,-9.97,-16.22,-8.25
ROE,28.26,-16.35,-41.74,-9.79,-31.16,-34.92,-60.23,-24.86
EPS(KRW),7523.0,-5372.0,-10416.0,-1907.0,-2032.0,-2097.0,-3210.0,-1222.0
BPS(KRW),35731.0,30468.0,19859.0,19489.0,25253.0,23182.0,19859.0,nan
DPS(KRW),500.0,nan,nan,nan,nan,nan,nan,nan
PER,23.06,nan,nan,nan,nan,nan,nan,nan
PBR,4.86,6.7,4.08,3.07,5.36,4.9,4.08,nan
Issued Shares,36018.0,36248.0,36297.0,nan,36295.0,36296.0,36297.0,nan
Div Yield,0.29,nan,nan,nan,nan,nan,nan,nan
