계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,2433.0,2001.0,2084.0,nan,499.0,483.0,522.0,nan
Operating Income,0.0,-19.0,-34.0,nan,-9.0,-4.0,-32.0,nan
Oper.Income(Rep.),0.0,-19.0,-34.0,nan,-9.0,-4.0,-32.0,nan
Net Income,25.0,24.0,9.0,nan,3.0,4.0,-16.0,nan
Net Income(Contr.),25.0,24.0,9.0,nan,3.0,4.0,-16.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,851.0,951.0,986.0,nan,976.0,997.0,986.0,nan
Total Liabilities,216.0,303.0,331.0,nan,313.0,331.0,331.0,nan
Total Equity,634.0,648.0,655.0,nan,663.0,666.0,655.0,nan
Net Income(Contr.),634.0,648.0,655.0,nan,663.0,666.0,655.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,10.0,10.0,10.0,nan,10.0,10.0,10.0,nan
Total Debt/Equity,34.11,46.76,50.5,nan,47.18,49.73,50.5,nan
Reserve Ratio,6616.22,6752.08,6824.98,nan,6903.93,6928.96,6824.98,nan
Oper.Income Margin,0.02,-0.96,-1.61,nan,-1.77,-0.73,-6.12,nan
Net Income Margin,1.05,1.22,0.44,nan,0.65,0.87,-3.0,nan
ROA,3.0,2.71,0.94,nan,1.3,1.71,-6.31,nan
ROE,4.08,3.81,1.39,nan,1.97,2.54,-9.47,nan
EPS(KRW),1272.0,1222.0,454.0,nan,163.0,211.0,-782.0,nan
BPS(KRW),33581.0,34260.0,34625.0,nan,35020.0,35145.0,34625.0,nan
DPS(KRW),400.0,500.0,500.0,nan,nan,nan,500.0,nan
PER,30.85,23.65,48.89,nan,nan,nan,nan,nan
PBR,1.17,0.84,0.64,nan,0.81,0.8,0.64,nan
Issued Shares,2000.0,2000.0,2000.0,nan,2000.0,2000.0,2000.0,nan
Div Yield,1.02,1.73,2.25,nan,nan,nan,2.25,nan
