계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,52.0,60.0,71.0,nan,nan,nan,nan,nan
Operating Income,20.0,13.0,16.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),20.0,13.0,16.0,nan,nan,nan,0.0,nan
Net Income,15.0,14.0,23.0,nan,nan,nan,nan,nan
Net Income(Contr.),15.0,14.0,23.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,83.0,92.0,413.0,nan,nan,nan,413.0,nan
Total Liabilities,23.0,15.0,14.0,nan,nan,nan,14.0,nan
Total Equity,61.0,77.0,400.0,nan,nan,nan,400.0,nan
Net Income(Contr.),61.0,77.0,400.0,nan,nan,nan,400.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,25.0,25.0,32.0,nan,nan,nan,32.0,nan
Total Debt/Equity,37.82,19.07,3.44,nan,nan,nan,3.44,nan
Reserve Ratio,138.34,203.21,1134.79,nan,nan,nan,1134.79,nan
Oper.Income Margin,38.64,21.96,22.75,nan,nan,nan,nan,nan
Net Income Margin,28.82,23.47,32.69,nan,nan,nan,nan,nan
ROA,17.99,16.1,9.2,nan,nan,nan,nan,nan
ROE,28.46,20.5,9.75,nan,nan,nan,nan,nan
EPS(KRW),296.0,278.0,409.0,nan,nan,nan,0.0,nan
BPS(KRW),1192.0,1516.0,6174.0,nan,nan,nan,6174.0,nan
DPS(KRW),nan,nan,50.0,nan,nan,nan,50.0,nan
PER,nan,nan,26.19,nan,nan,nan,nan,nan
PBR,nan,nan,1.73,nan,nan,nan,1.73,nan
Issued Shares,5081.0,5081.0,6472.0,nan,nan,nan,6472.0,nan
Div Yield,nan,nan,0.47,nan,nan,nan,0.47,nan
