계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,81.0,102.0,100.0,nan,19.0,23.0,nan,nan
Operating Income,-7.0,9.0,-0.0,nan,-3.0,-2.0,nan,nan
Oper.Income(Rep.),-7.0,9.0,-0.0,nan,-3.0,-2.0,0.0,nan
Net Income,2.0,12.0,-0.0,nan,-4.0,-1.0,nan,nan
Net Income(Contr.),2.0,12.0,-0.0,nan,-4.0,-1.0,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,186.0,185.0,269.0,nan,178.0,179.0,269.0,nan
Total Liabilities,70.0,59.0,61.0,nan,57.0,60.0,61.0,nan
Total Equity,116.0,126.0,208.0,nan,120.0,119.0,208.0,nan
Net Income(Contr.),116.0,126.0,208.0,nan,120.0,119.0,208.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,5.0,5.0,6.0,nan,5.0,5.0,6.0,nan
Total Debt/Equity,60.47,46.77,29.42,nan,47.8,50.41,29.42,nan
Reserve Ratio,2313.86,2524.14,3629.13,nan,2403.1,2380.67,3629.13,nan
Oper.Income Margin,-8.12,8.6,-0.29,nan,-14.31,-7.15,nan,nan
Net Income Margin,2.94,11.58,-0.24,nan,-19.16,-5.65,nan,nan
ROA,1.24,6.34,-0.11,nan,nan,-2.93,0.0,nan
ROE,2.15,9.72,-0.14,nan,nan,-4.36,0.0,nan
EPS(KRW),48.0,235.0,-5.0,nan,-75.0,-26.0,0.0,nan
BPS(KRW),2414.0,2624.0,3729.0,nan,2503.0,2481.0,3729.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,nan,3.86,nan,nan,nan,3.86,nan
Issued Shares,4999.0,4999.0,5626.0,nan,4999.0,4999.0,5626.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
