계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,139.0,161.0,207.0,nan,nan,nan,nan,nan
Operating Income,26.0,36.0,52.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),26.0,36.0,52.0,nan,nan,nan,0.0,nan
Net Income,26.0,38.0,61.0,nan,nan,nan,nan,nan
Net Income(Contr.),26.0,38.0,61.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,287.0,350.0,428.0,nan,nan,nan,428.0,nan
Total Liabilities,99.0,131.0,153.0,nan,nan,nan,153.0,nan
Total Equity,188.0,219.0,274.0,nan,nan,nan,274.0,nan
Net Income(Contr.),188.0,219.0,274.0,nan,nan,nan,274.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,43.0,43.0,43.0,nan,nan,nan,43.0,nan
Total Debt/Equity,52.61,60.05,55.82,nan,nan,nan,55.82,nan
Reserve Ratio,339.76,410.66,541.45,nan,nan,nan,541.45,nan
Oper.Income Margin,18.62,22.46,24.96,nan,nan,nan,nan,nan
Net Income Margin,19.04,23.54,29.47,nan,nan,nan,nan,nan
ROA,9.53,11.87,15.7,nan,nan,nan,nan,nan
ROE,15.08,18.58,24.76,nan,nan,nan,nan,nan
EPS(KRW),309.0,442.0,713.0,nan,nan,nan,0.0,nan
BPS(KRW),2199.0,2553.0,3207.0,nan,nan,nan,3207.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,12.57,10.01,13.22,nan,nan,nan,nan,nan
PBR,1.76,1.73,2.94,nan,nan,nan,2.94,nan
Issued Shares,8558.0,8558.0,8558.0,nan,nan,nan,8558.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
