계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,408.0,410.0,940.0,nan,40.0,134.0,723.0,nan
Operating Income,-153.0,-186.0,-226.0,nan,-76.0,-49.0,-42.0,nan
Oper.Income(Rep.),-153.0,-186.0,-226.0,nan,-76.0,-49.0,-42.0,nan
Net Income,64.0,140.0,-34.0,nan,501.0,19.0,-629.0,nan
Net Income(Contr.),92.0,128.0,-13.0,nan,505.0,23.0,-623.0,nan
Net Income(Minor.),-28.0,13.0,-21.0,nan,-3.0,-4.0,-5.0,nan
Total Assets,3676.0,3664.0,4132.0,nan,4261.0,4433.0,4132.0,nan
Total Liabilities,1550.0,1417.0,1875.0,nan,1430.0,1609.0,1875.0,nan
Total Equity,2126.0,2247.0,2257.0,nan,2831.0,2823.0,2257.0,nan
Net Income(Contr.),1978.0,2100.0,2001.0,nan,2692.0,2696.0,2001.0,nan
Net Income(Minor.),148.0,146.0,256.0,nan,139.0,127.0,256.0,nan
Capital Stock,109.0,109.0,109.0,nan,109.0,109.0,109.0,nan
Total Debt/Equity,72.92,63.08,83.07,nan,50.49,57.01,83.07,nan
Reserve Ratio,1880.5,2011.25,1894.59,nan,2502.07,2505.13,1894.59,nan
Oper.Income Margin,-37.41,-45.32,-24.09,nan,-188.06,-36.55,-5.87,nan
Net Income Margin,22.59,31.15,-1.41,nan,1249.82,17.24,-86.22,nan
ROA,1.81,3.83,-0.88,nan,48.23,1.74,-58.72,nan
ROE,4.81,6.27,-0.65,nan,83.37,3.43,-106.17,nan
EPS(KRW),452.0,627.0,-66.0,nan,2537.0,116.0,-3133.0,nan
BPS(KRW),10581.0,11280.0,10924.0,nan,14251.0,14268.0,10924.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,34.83,10.69,nan,nan,nan,nan,nan,nan
PBR,1.49,0.59,0.48,nan,0.54,0.38,0.48,nan
Issued Shares,20394.0,20394.0,19894.0,nan,19894.0,19894.0,19894.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
