계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1014.0,71.0,101.0,nan,16.0,41.0,25.0,nan
Operating Income,250.0,-228.0,-220.0,nan,-48.0,-44.0,-77.0,nan
Oper.Income(Rep.),250.0,-228.0,-220.0,nan,-48.0,-44.0,-77.0,nan
Net Income,267.0,-174.0,-154.0,nan,17.0,-43.0,-88.0,nan
Net Income(Contr.),267.0,-172.0,-152.0,nan,18.0,-43.0,-87.0,nan
Net Income(Minor.),-0.0,-1.0,-2.0,nan,-0.0,0.0,-1.0,nan
Total Assets,1733.0,1332.0,1076.0,nan,1209.0,1156.0,1076.0,nan
Total Liabilities,327.0,207.0,103.0,nan,106.0,96.0,103.0,nan
Total Equity,1406.0,1125.0,973.0,nan,1103.0,1060.0,973.0,nan
Net Income(Contr.),1406.0,1124.0,971.0,nan,1104.0,1062.0,971.0,nan
Net Income(Minor.),0.0,1.0,2.0,nan,-1.0,-2.0,2.0,nan
Capital Stock,81.0,84.0,84.0,nan,84.0,84.0,84.0,nan
Total Debt/Equity,23.28,18.44,10.63,nan,9.64,9.03,10.63,nan
Reserve Ratio,1628.18,1387.74,1203.53,nan,1363.5,1312.13,1203.53,nan
Oper.Income Margin,24.63,-319.08,-218.1,nan,-310.49,-107.6,-310.67,nan
Net Income Margin,26.35,-241.69,-150.47,nan,113.62,-105.68,-351.53,nan
ROA,16.22,-11.34,-12.76,nan,5.62,-14.69,-31.38,nan
ROE,22.15,-13.63,-14.5,nan,6.46,-16.05,-34.11,nan
EPS(KRW),1627.0,-1036.0,-908.0,nan,106.0,-260.0,-518.0,nan
BPS(KRW),8489.0,7433.0,6518.0,nan,7312.0,7061.0,6518.0,nan
DPS(KRW),150.0,nan,nan,nan,nan,nan,nan,nan
PER,6.24,nan,nan,nan,nan,nan,nan,nan
PBR,1.2,1.04,0.82,nan,0.69,0.85,0.82,nan
Issued Shares,16269.0,16723.0,16743.0,nan,16726.0,16743.0,16743.0,nan
Div Yield,1.48,nan,nan,nan,nan,nan,nan,nan
