계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,19,37,59.0,98.0,nan,nan,nan,nan
Operating Income,-64,-67,-88.0,-61.0,nan,nan,nan,nan
Oper.Income(Rep.),-64,-67,-88.0,nan,0.0,nan,0.0,nan
Net Income,293,-236,-83.0,-51.0,nan,nan,nan,nan
Net Income(Contr.),293,-236,-83.0,-51.0,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,251,198,436.0,499.0,159.0,nan,436.0,nan
Total Liabilities,529,21,16.0,136.0,20.0,nan,16.0,nan
Total Equity,-278,177,420.0,363.0,139.0,nan,420.0,nan
Net Income(Contr.),-278,177,420.0,363.0,139.0,nan,420.0,nan
Net Income(Minor.),0,0,0.0,0.0,0.0,nan,0.0,nan
Capital Stock,11,26,65.0,36.0,53.0,nan,65.0,nan
Total Debt/Equity,Completely Impaired capital,11.67,3.86,37.47,14.31,nan,3.86,nan
Reserve Ratio,nan,577.82,543.65,nan,160.68,nan,543.65,nan
Oper.Income Margin,-340.39,-179.68,-147.84,-62.24,nan,nan,nan,nan
Net Income Margin,1567.93,-628.46,-139.8,-52.04,nan,nan,nan,nan
ROA,106.64,-105.06,-26.2,-10.91,nan,nan,nan,nan
ROE,Completely Impaired capital,Completely Impaired capital,-27.81,-13.03,nan,nan,nan,nan
EPS(KRW),3951,-3137,-754.0,-391.0,0.0,nan,0.0,nan
BPS(KRW),-3749,1695,3218.0,2782.0,1303.0,nan,3218.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,nan,4.77,6.69,nan,nan,4.77,nan
Issued Shares,4400,10450,13048.0,nan,10671.0,nan,13048.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
