계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2422.0,2802.0,2363.0,nan,664.0,556.0,600.0,583.0
Operating Income,488.0,337.0,334.0,nan,135.0,101.0,61.0,126.0
Oper.Income(Rep.),488.0,337.0,334.0,nan,135.0,101.0,61.0,126.0
Net Income,343.0,289.0,302.0,nan,106.0,74.0,68.0,nan
Net Income(Contr.),343.0,292.0,303.0,nan,106.0,75.0,69.0,nan
Net Income(Minor.),0.0,-3.0,-1.0,nan,-0.0,-0.0,-0.0,nan
Total Assets,4001.0,4615.0,4131.0,nan,4655.0,4129.0,4131.0,nan
Total Liabilities,2545.0,2884.0,2153.0,nan,2772.0,2208.0,2153.0,nan
Total Equity,1456.0,1731.0,1978.0,nan,1883.0,1921.0,1978.0,nan
Net Income(Contr.),1456.0,1753.0,1985.0,nan,1890.0,1928.0,1985.0,nan
Net Income(Minor.),0.0,-21.0,-7.0,nan,-7.0,-7.0,-7.0,nan
Capital Stock,78.0,78.0,78.0,nan,78.0,78.0,78.0,nan
Total Debt/Equity,174.78,166.63,108.85,nan,147.2,114.95,108.85,nan
Reserve Ratio,2273.84,2616.58,2533.27,nan,2347.36,2440.66,2533.27,nan
Oper.Income Margin,20.16,12.02,14.14,nan,20.39,18.2,10.1,nan
Net Income Margin,14.16,10.41,12.8,nan,16.03,13.41,11.42,nan
ROA,4.7,6.7,6.9,nan,9.38,6.77,6.62,nan
ROE,24.43,18.18,16.19,nan,23.46,15.62,14.02,nan
EPS(KRW),2206.0,1945.0,2029.0,nan,714.0,500.0,460.0,nan
BPS(KRW),12312.0,14089.0,13749.0,nan,12778.0,13265.0,13749.0,nan
DPS(KRW),nan,500.0,680.0,nan,nan,nan,680.0,nan
PER,7.39,9.2,13.63,nan,nan,nan,nan,nan
PBR,1.32,1.27,2.01,nan,1.18,1.11,2.01,nan
Issued Shares,15000.0,15000.0,14900.0,nan,14900.0,14900.0,14900.0,nan
Div Yield,nan,2.79,2.46,nan,nan,nan,2.46,nan
