계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,11094.0,10324.0,10905.0,11039.0,2824.0,3008.0,2657.0,2392.0
Operating Income,-334.0,-494.0,8.0,118.0,40.0,39.0,-35.0,nan
Oper.Income(Rep.),-334.0,-494.0,8.0,nan,40.0,39.0,-35.0,nan
Net Income,-543.0,-745.0,-19.0,73.0,83.0,-81.0,31.0,nan
Net Income(Contr.),-11.0,-224.0,-50.0,75.0,-92.0,-80.0,94.0,nan
Net Income(Minor.),-532.0,-521.0,31.0,nan,175.0,-0.0,-64.0,nan
Total Assets,12899.0,12191.0,12612.0,12300.0,12676.0,12579.0,12612.0,nan
Total Liabilities,5143.0,5312.0,5602.0,5420.0,5792.0,5802.0,5602.0,nan
Total Equity,7756.0,6879.0,7010.0,6880.0,6884.0,6777.0,7010.0,nan
Net Income(Contr.),7050.0,6773.0,6831.0,6790.0,6669.0,6577.0,6831.0,nan
Net Income(Minor.),706.0,106.0,180.0,90.0,215.0,200.0,180.0,nan
Capital Stock,292.0,292.0,292.0,290.0,292.0,292.0,292.0,nan
Total Debt/Equity,66.31,77.22,79.91,78.78,84.14,85.6,79.91,nan
Reserve Ratio,2458.5,2363.56,2383.36,nan,2327.87,2296.35,2383.36,nan
Oper.Income Margin,-3.01,-4.78,0.07,1.07,1.43,1.29,-1.31,nan
Net Income Margin,-0.1,-2.17,-0.46,0.68,-3.26,-2.67,3.55,nan
ROA,-3.88,-5.94,-0.16,0.58,2.69,-2.55,0.97,nan
ROE,-0.15,-3.24,-0.74,1.1,-5.49,-4.84,5.62,nan
EPS(KRW),-19.0,-384.0,-87.0,129.0,-158.0,-138.0,162.0,nan
BPS(KRW),12793.0,12318.0,12417.0,12347.0,12139.0,11982.0,12417.0,nan
DPS(KRW),220.0,136.0,nan,136.0,nan,nan,nan,nan
PER,nan,nan,nan,50.84,nan,nan,nan,nan
PBR,0.79,0.82,0.59,0.53,0.75,0.73,0.59,nan
Issued Shares,58305.0,58305.0,58305.0,nan,58305.0,58305.0,58305.0,nan
Div Yield,2.18,1.34,nan,nan,nan,nan,nan,nan
