계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,271.0,309.0,404.0,nan,84.0,129.0,113.0,nan
Operating Income,37.0,33.0,39.0,nan,10.0,7.0,12.0,nan
Oper.Income(Rep.),37.0,33.0,39.0,nan,10.0,7.0,12.0,nan
Net Income,43.0,28.0,12.0,nan,2.0,-4.0,11.0,nan
Net Income(Contr.),44.0,29.0,13.0,nan,2.0,-4.0,11.0,nan
Net Income(Minor.),-1.0,-1.0,-1.0,nan,-0.0,-0.0,0.0,nan
Total Assets,575.0,605.0,854.0,nan,814.0,824.0,854.0,nan
Total Liabilities,194.0,202.0,397.0,nan,375.0,390.0,397.0,nan
Total Equity,381.0,403.0,457.0,nan,438.0,434.0,457.0,nan
Net Income(Contr.),378.0,402.0,414.0,nan,406.0,402.0,414.0,nan
Net Income(Minor.),3.0,1.0,43.0,nan,32.0,32.0,43.0,nan
Capital Stock,30.0,30.0,30.0,nan,30.0,30.0,30.0,nan
Total Debt/Equity,50.89,50.06,86.72,nan,85.64,89.95,86.72,nan
Reserve Ratio,1158.86,1239.5,1279.78,nan,1252.25,1238.76,1279.78,nan
Oper.Income Margin,13.58,10.83,9.53,nan,11.32,5.42,10.51,nan
Net Income Margin,16.1,9.32,3.26,nan,2.37,-3.15,9.4,nan
ROA,7.85,4.79,1.7,nan,1.0,-2.17,5.11,nan
ROE,12.31,7.37,3.22,nan,1.97,-4.01,10.4,nan
EPS(KRW),145.0,96.0,44.0,nan,7.0,-13.0,35.0,nan
BPS(KRW),1259.0,1340.0,1380.0,nan,1352.0,1339.0,1380.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,12.85,23.12,29.03,nan,nan,nan,nan,nan
PBR,1.49,1.65,0.92,nan,1.31,1.18,0.92,nan
Issued Shares,30028.0,30028.0,30028.0,nan,30028.0,30028.0,30028.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
