계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,837.0,869.0,882.0,nan,223.0,220.0,237.0,nan
Operating Income,53.0,76.0,82.0,nan,24.0,25.0,15.0,nan
Oper.Income(Rep.),53.0,76.0,82.0,nan,24.0,25.0,15.0,nan
Net Income,61.0,85.0,100.0,nan,25.0,44.0,15.0,nan
Net Income(Contr.),61.0,85.0,100.0,nan,25.0,44.0,15.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,827.0,900.0,960.0,nan,959.0,948.0,960.0,nan
Total Liabilities,315.0,330.0,316.0,nan,371.0,323.0,316.0,nan
Total Equity,512.0,570.0,644.0,nan,588.0,624.0,644.0,nan
Net Income(Contr.),512.0,570.0,644.0,nan,588.0,624.0,644.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,65.0,65.0,65.0,nan,65.0,65.0,65.0,nan
Total Debt/Equity,61.47,57.92,49.09,nan,63.18,51.77,49.09,nan
Reserve Ratio,688.15,777.07,890.28,nan,804.36,860.54,890.28,nan
Oper.Income Margin,6.32,8.71,9.29,nan,10.97,11.14,6.14,nan
Net Income Margin,7.33,9.78,11.39,nan,11.32,20.14,6.27,nan
ROA,7.64,9.84,10.8,nan,10.78,18.6,6.23,nan
ROE,12.43,15.7,16.55,nan,17.58,29.25,9.37,nan
EPS(KRW),472.0,654.0,773.0,nan,194.0,341.0,114.0,nan
BPS(KRW),3941.0,4385.0,4951.0,nan,4522.0,4803.0,4951.0,nan
DPS(KRW),200.0,250.0,281.0,nan,50.0,nan,231.0,nan
PER,13.22,10.53,11.19,nan,nan,nan,nan,nan
PBR,1.58,1.57,1.75,nan,1.38,1.39,1.75,nan
Issued Shares,13000.0,13000.0,13000.0,nan,13000.0,13000.0,13000.0,nan
Div Yield,3.21,3.63,3.25,nan,0.8,nan,2.67,nan
