계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,163.0,99.0,483,nan,nan,nan,nan,nan
Operating Income,-24.0,-47.0,50,nan,nan,nan,nan,nan
Oper.Income(Rep.),-24.0,-47.0,50,nan,nan,nan,0.0,nan
Net Income,-31.0,-73.0,32,nan,nan,nan,nan,nan
Net Income(Contr.),-31.0,-73.0,32,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,489.0,304.0,352,nan,nan,nan,352.0,nan
Total Liabilities,346.0,258.0,89,nan,nan,nan,89.0,nan
Total Equity,144.0,46.0,263,nan,nan,nan,263.0,nan
Net Income(Contr.),144.0,46.0,263,nan,nan,nan,263.0,nan
Net Income(Minor.),0.0,0.0,0,nan,nan,nan,0.0,nan
Capital Stock,17.0,17.0,46,nan,nan,nan,46.0,nan
Total Debt/Equity,240.58,556.04,33.98,nan,nan,nan,33.98,nan
Reserve Ratio,742.95,171.84,467.11,nan,nan,nan,467.11,nan
Oper.Income Margin,-14.78,-48.11,10.30,nan,nan,nan,nan,nan
Net Income Margin,-19.11,-74.52,6.60,nan,nan,nan,nan,nan
ROA,-6.08,-18.5,N/A(IFRS),nan,nan,nan,nan,nan
ROE,-19.52,-77.24,N/A(IFRS),nan,nan,nan,nan,nan
EPS(KRW),-456.0,-1076.0,359,nan,nan,nan,0.0,nan
BPS(KRW),2107.0,680.0,2836,nan,nan,nan,2836.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,nan,nan,nan,nan,nan,nan,nan
Issued Shares,6820.0,6820.0,9270,nan,nan,nan,9270.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
