계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,11337.0,10704.0,9617.0,nan,2663.0,2591.0,2178.0,2424.0
Operating Income,740.0,762.0,122.0,nan,52.0,26.0,-31.0,91.0
Oper.Income(Rep.),740.0,762.0,122.0,nan,52.0,26.0,-31.0,91.0
Net Income,272.0,392.0,-103.0,nan,20.0,-28.0,-116.0,64.0
Net Income(Contr.),272.0,400.0,-92.0,nan,25.0,-28.0,-115.0,nan
Net Income(Minor.),0.0,-9.0,-12.0,nan,-5.0,-1.0,-2.0,nan
Total Assets,5656.0,7189.0,7358.0,nan,7303.0,7245.0,7358.0,nan
Total Liabilities,4258.0,4377.0,4528.0,nan,4441.0,4410.0,4528.0,nan
Total Equity,1397.0,2812.0,2830.0,nan,2861.0,2834.0,2830.0,nan
Net Income(Contr.),1395.0,2774.0,2803.0,nan,2832.0,2806.0,2803.0,nan
Net Income(Minor.),3.0,38.0,27.0,nan,29.0,28.0,27.0,nan
Capital Stock,42.0,47.0,105.0,nan,47.0,47.0,105.0,nan
Total Debt/Equity,304.73,155.68,159.97,nan,155.2,155.59,159.97,nan
Reserve Ratio,3220.64,5860.59,2565.85,nan,5986.35,5930.44,2565.85,nan
Oper.Income Margin,6.53,7.12,1.27,nan,1.96,0.99,-1.43,nan
Net Income Margin,2.4,3.74,-0.95,nan,0.94,-1.07,-5.27,2.64
ROA,5.09,6.1,-1.42,nan,1.09,-1.56,-6.38,nan
ROE,17.67,19.2,-3.28,nan,3.55,-3.94,-16.37,nan
EPS(KRW),1687.0,2653.0,-521.0,nan,142.0,-158.0,-653.0,364.0
BPS(KRW),9382.0,15773.0,15941.0,nan,16106.0,15958.0,15941.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,36.33,nan,nan,nan,nan,nan,nan
PBR,nan,6.11,1.91,nan,2.48,1.61,1.91,nan
Issued Shares,14865.0,17584.0,17584.0,nan,17584.0,17584.0,17584.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
