계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,223.0,242.0,296.0,nan,nan,nan,nan,nan
Operating Income,28.0,18.0,-11.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),28.0,18.0,-11.0,nan,nan,nan,0.0,nan
Net Income,28.0,25.0,-1.0,nan,nan,nan,nan,nan
Net Income(Contr.),28.0,25.0,-1.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,114.0,299.0,305.0,nan,nan,nan,305.0,nan
Total Liabilities,62.0,68.0,84.0,nan,nan,nan,84.0,nan
Total Equity,52.0,231.0,221.0,nan,nan,nan,221.0,nan
Net Income(Contr.),52.0,231.0,221.0,nan,nan,nan,221.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,4.0,5.0,5.0,nan,nan,nan,5.0,nan
Total Debt/Equity,119.22,29.47,37.83,nan,nan,nan,37.83,nan
Reserve Ratio,1344.72,4525.6,4295.21,nan,nan,nan,4295.21,nan
Oper.Income Margin,12.68,7.27,-3.61,nan,nan,nan,nan,nan
Net Income Margin,12.51,10.34,-0.48,nan,nan,nan,nan,nan
ROA,28.96,12.12,-0.47,nan,nan,nan,nan,nan
ROE,74.09,17.69,-0.63,nan,nan,nan,nan,nan
EPS(KRW),778.0,602.0,-28.0,nan,nan,nan,0.0,nan
BPS(KRW),1445.0,4626.0,4395.0,nan,nan,nan,4395.0,nan
DPS(KRW),nan,200.0,nan,nan,nan,nan,nan,nan
PER,nan,25.17,nan,nan,nan,nan,nan,nan
PBR,nan,3.28,1.57,nan,nan,nan,1.57,nan
Issued Shares,3585.0,4988.0,5038.0,nan,nan,nan,5038.0,nan
Div Yield,nan,1.32,nan,nan,nan,nan,nan,nan
