계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1431.0,1761.0,1947.0,nan,632.0,543.0,365.0,nan
Operating Income,29.0,111.0,123.0,nan,52.0,42.0,8.0,nan
Oper.Income(Rep.),29.0,111.0,123.0,nan,52.0,42.0,8.0,nan
Net Income,18.0,84.0,97.0,nan,44.0,34.0,2.0,nan
Net Income(Contr.),20.0,85.0,97.0,nan,44.0,34.0,2.0,nan
Net Income(Minor.),-2.0,-1.0,-0.0,nan,-0.0,0.0,-0.0,nan
Total Assets,885.0,940.0,1029.0,nan,1128.0,1117.0,1029.0,nan
Total Liabilities,202.0,182.0,217.0,nan,329.0,287.0,217.0,nan
Total Equity,683.0,757.0,812.0,nan,798.0,830.0,812.0,nan
Net Income(Contr.),687.0,761.0,817.0,nan,803.0,835.0,817.0,nan
Net Income(Minor.),-3.0,-4.0,-5.0,nan,-4.0,-4.0,-5.0,nan
Capital Stock,105.0,105.0,105.0,nan,105.0,105.0,105.0,nan
Total Debt/Equity,29.49,24.1,26.7,nan,41.26,34.52,26.7,nan
Reserve Ratio,557.06,628.06,697.19,nan,667.63,698.17,697.19,nan
Oper.Income Margin,2.01,6.32,6.32,nan,8.23,7.73,2.09,nan
Net Income Margin,1.41,4.82,4.99,nan,6.98,6.21,0.66,nan
ROA,2.1,9.21,9.85,nan,16.14,12.03,0.85,nan
ROE,2.99,11.72,12.31,nan,22.57,16.48,1.17,nan
EPS(KRW),100.0,421.0,482.0,nan,219.0,167.0,12.0,nan
BPS(KRW),3422.0,3792.0,4152.0,nan,3998.0,4157.0,4152.0,nan
DPS(KRW),30.0,100.0,110.0,nan,nan,nan,110.0,nan
PER,29.77,7.24,6.01,nan,nan,nan,nan,nan
PBR,0.87,0.8,0.7,nan,0.78,0.64,0.7,nan
Issued Shares,20147.0,20147.0,20147.0,nan,20147.0,20147.0,20147.0,nan
Div Yield,1.0,3.28,3.79,nan,nan,nan,3.79,nan
