계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,109.0,107.0,89.0,nan,nan,nan,nan,nan
Operating Income,3.0,-22.0,-70.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),3.0,-22.0,-70.0,nan,nan,nan,0.0,nan
Net Income,6.0,-71.0,-65.0,nan,nan,nan,nan,nan
Net Income(Contr.),6.0,-71.0,-65.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,126.0,357.0,282.0,nan,nan,nan,282.0,nan
Total Liabilities,51.0,143.0,120.0,nan,nan,nan,120.0,nan
Total Equity,75.0,214.0,161.0,nan,nan,nan,161.0,nan
Net Income(Contr.),75.0,214.0,161.0,nan,nan,nan,161.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,25.0,30.0,30.0,nan,nan,nan,30.0,nan
Total Debt/Equity,68.26,66.68,74.55,nan,nan,nan,74.55,nan
Reserve Ratio,199.77,636.58,448.16,nan,nan,nan,448.16,nan
Oper.Income Margin,2.95,-20.04,-78.5,nan,nan,nan,nan,nan
Net Income Margin,5.36,-65.88,-72.76,nan,nan,nan,nan,nan
ROA,5.08,-29.34,-20.3,nan,nan,nan,nan,nan
ROE,8.82,-49.02,-34.52,nan,nan,nan,nan,nan
EPS(KRW),21.0,-241.0,-216.0,nan,nan,nan,0.0,nan
BPS(KRW),263.0,737.0,548.0,nan,nan,nan,548.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,13.6,6.48,nan,nan,nan,6.48,nan
Issued Shares,28442.0,29547.0,30108.0,nan,nan,nan,30108.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
