계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1536.0,2081.0,2073.0,nan,751.0,448.0,244.0,nan
Operating Income,20.0,259.0,63.0,nan,144.0,-19.0,-150.0,nan
Oper.Income(Rep.),20.0,259.0,63.0,nan,144.0,-19.0,-150.0,nan
Net Income,-42.0,176.0,81.0,nan,152.0,-14.0,-91.0,nan
Net Income(Contr.),-42.0,177.0,80.0,nan,152.0,-14.0,-94.0,nan
Net Income(Minor.),nan,-1.0,1.0,nan,-0.0,-0.0,3.0,nan
Total Assets,2321.0,2699.0,3673.0,nan,3238.0,3017.0,3673.0,nan
Total Liabilities,1491.0,1678.0,2239.0,nan,1917.0,1594.0,2239.0,nan
Total Equity,830.0,1021.0,1435.0,nan,1321.0,1424.0,1435.0,nan
Net Income(Contr.),830.0,1012.0,1424.0,nan,1313.0,1416.0,1424.0,nan
Net Income(Minor.),0.0,9.0,11.0,nan,8.0,8.0,11.0,nan
Capital Stock,267.0,267.0,305.0,nan,288.0,305.0,305.0,nan
Total Debt/Equity,179.7,164.44,156.03,nan,145.16,111.95,156.03,nan
Reserve Ratio,233.23,304.94,366.82,nan,379.99,364.24,366.82,nan
Oper.Income Margin,1.33,12.43,3.04,nan,19.18,-4.17,-61.58,nan
Net Income Margin,-2.73,8.5,3.84,nan,20.28,-3.13,-38.31,nan
ROA,-1.95,7.01,2.54,nan,19.89,-1.82,-10.86,nan
ROE,-4.77,19.22,6.54,nan,50.24,-4.11,-26.36,nan
EPS(KRW),-79.0,331.0,132.0,nan,264.0,-23.0,-153.0,nan
BPS(KRW),1666.0,2025.0,2334.0,nan,2400.0,2321.0,2334.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,4.22,8.52,nan,nan,nan,nan,nan
PBR,0.71,0.69,0.48,nan,0.7,0.69,0.48,nan
Issued Shares,53405.0,53405.0,61002.0,nan,57618.0,61002.0,61002.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
