계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,111.0,116.0,173.0,nan,35.0,30,85.0,nan
Operating Income,-169.0,-185.0,-104.0,nan,-31.0,-34,15.0,nan
Oper.Income(Rep.),-169.0,-185.0,-104.0,nan,-31.0,-34,15.0,nan
Net Income,-141.0,-268.0,-99.0,nan,-62.0,-33,30.0,nan
Net Income(Contr.),-139.0,-268.0,-99.0,nan,-62.0,-33,30.0,nan
Net Income(Minor.),-2.0,0.0,-1.0,nan,-0.0,-0,0.0,nan
Total Assets,590.0,362.0,178.0,nan,169.0,154,178.0,nan
Total Liabilities,245.0,280.0,107.0,nan,159.0,169,107.0,nan
Total Equity,345.0,82.0,71.0,nan,10.0,-15,71.0,nan
Net Income(Contr.),347.0,84.0,73.0,nan,12.0,-12,73.0,nan
Net Income(Minor.),-2.0,-2.0,-3.0,nan,-2.0,-3,-3.0,nan
Capital Stock,108.0,108.0,124.0,nan,110.0,110,124.0,nan
Total Debt/Equity,71.14,340.83,150.98,nan,1616.13,Completely Impaired capital,150.98,nan
Reserve Ratio,223.01,nan,nan,nan,nan,nan,nan,nan
Oper.Income Margin,-151.96,-160.2,-60.47,nan,-86.66,-111.79,18.02,nan
Net Income Margin,-125.66,-231.64,-57.22,nan,-174.51,-109.99,34.99,nan
ROA,-21.11,-56.23,-36.88,nan,-118.58,-82.67,71.99,nan
ROE,-54.46,-124.43,-125.69,nan,-741.3,Completely Impaired capital,390.43,nan
EPS(KRW),-649.0,-1070.0,-380.0,nan,-242.0,-130,111.0,nan
BPS(KRW),1391.0,340.0,255.0,nan,48.0,-48,255.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,3.91,19.29,6.68,nan,30.88,nan,6.68,nan
Issued Shares,25019.0,25029.0,28728.0,nan,25574.0,25574,28728.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
