계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,419.0,447.0,375.0,nan,78.0,89.0,163.0,nan
Operating Income,45.0,19.0,20.0,nan,11.0,7.0,6.0,nan
Oper.Income(Rep.),45.0,19.0,20.0,nan,11.0,7.0,6.0,nan
Net Income,38.0,15.0,42.0,nan,18.0,-4.0,24.0,nan
Net Income(Contr.),33.0,26.0,45.0,nan,17.0,-0.0,22.0,nan
Net Income(Minor.),5.0,-11.0,-3.0,nan,1.0,-3.0,2.0,nan
Total Assets,784.0,746.0,776.0,nan,821.0,797.0,776.0,nan
Total Liabilities,229.0,185.0,182.0,nan,247.0,227.0,182.0,nan
Total Equity,555.0,561.0,594.0,nan,574.0,570.0,594.0,nan
Net Income(Contr.),531.0,548.0,578.0,nan,563.0,562.0,578.0,nan
Net Income(Minor.),24.0,13.0,15.0,nan,11.0,8.0,15.0,nan
Capital Stock,32.0,32.0,32.0,nan,32.0,32.0,32.0,nan
Total Debt/Equity,41.32,32.93,30.69,nan,43.03,39.84,30.69,nan
Reserve Ratio,1604.72,1658.72,1754.34,nan,1705.23,1703.77,1754.34,nan
Oper.Income Margin,10.74,4.19,5.45,nan,13.48,7.77,3.84,nan
Net Income Margin,7.82,5.9,12.11,nan,21.57,-0.52,13.69,nan
ROA,5.07,1.97,5.52,nan,8.59,-1.94,12.38,nan
ROE,6.37,4.89,8.06,nan,12.18,-0.33,15.67,nan
EPS(KRW),103.0,83.0,143.0,nan,53.0,-1.0,70.0,nan
BPS(KRW),1705.0,1759.0,1854.0,nan,1805.0,1804.0,1854.0,nan
DPS(KRW),30.0,30.0,30.0,nan,nan,nan,30.0,nan
PER,25.62,37.78,10.14,nan,nan,nan,nan,nan
PBR,1.55,1.78,0.78,nan,1.39,1.05,0.78,nan
Issued Shares,31812.0,31812.0,31812.0,nan,31812.0,31812.0,31812.0,nan
Div Yield,1.14,0.96,2.07,nan,nan,nan,2.07,nan
