계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,35.0,53.0,0.0,nan,nan,nan,nan,nan
Operating Income,-680.0,-533.0,-483.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-680.0,-533.0,-483.0,nan,nan,nan,0.0,nan
Net Income,-798.0,-555.0,-588.0,nan,nan,nan,nan,nan
Net Income(Contr.),-798.0,-555.0,-588.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1063.0,813.0,458.0,nan,nan,nan,458.0,nan
Total Liabilities,107.0,96.0,167.0,nan,nan,nan,167.0,nan
Total Equity,956.0,717.0,291.0,nan,nan,nan,291.0,nan
Net Income(Contr.),956.0,717.0,291.0,nan,nan,nan,291.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,100.0,110.0,226.0,nan,nan,nan,226.0,nan
Total Debt/Equity,11.17,13.44,57.56,nan,nan,nan,57.56,nan
Reserve Ratio,856.26,549.78,28.64,nan,nan,nan,28.64,nan
Oper.Income Margin,-1941.49,-1002.18,-198751.85,nan,nan,nan,nan,nan
Net Income Margin,-2280.94,-1043.37,-242096.06,nan,nan,nan,nan,nan
ROA,-55.79,-59.14,-92.49,nan,nan,nan,nan,nan
ROE,-60.01,-66.32,-116.69,nan,nan,nan,nan,nan
EPS(KRW),-1683.0,-1078.0,-1113.0,nan,nan,nan,0.0,nan
BPS(KRW),2016.0,1370.0,543.0,nan,nan,nan,543.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,7.33,13.54,nan,nan,nan,13.54,nan
Issued Shares,47444.0,52344.0,52543.0,nan,nan,nan,52543.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
