계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,20796.0,20579.0,22049.0,nan,5598.0,6100.0,5651.0,nan
Operating Income,720.0,-164.0,-107.0,nan,106.0,345.0,-247.0,nan
Oper.Income(Rep.),720.0,-164.0,-107.0,nan,106.0,345.0,-247.0,nan
Net Income,589.0,-728.0,-111.0,nan,-250.0,65.0,694.0,nan
Net Income(Contr.),328.0,-541.0,240.0,nan,-167.0,-11.0,825.0,nan
Net Income(Minor.),261.0,-187.0,-351.0,nan,-84.0,76.0,-132.0,nan
Total Assets,35921.0,37377.0,36706.0,nan,37817.0,38715.0,36706.0,nan
Total Liabilities,16250.0,18562.0,18184.0,nan,19948.0,20806.0,18184.0,nan
Total Equity,19670.0,18815.0,18522.0,nan,17869.0,17908.0,18522.0,nan
Net Income(Contr.),10377.0,9803.0,9941.0,nan,9225.0,9155.0,9941.0,nan
Net Income(Minor.),9293.0,9013.0,8581.0,nan,8645.0,8753.0,8581.0,nan
Capital Stock,266.0,266.0,266.0,nan,266.0,266.0,266.0,nan
Total Debt/Equity,82.61,98.65,98.18,nan,111.63,116.18,98.18,nan
Reserve Ratio,3873.1,3656.83,3708.9,nan,3439.42,3413.21,3708.9,nan
Oper.Income Margin,3.46,-0.8,-0.49,nan,1.9,5.65,-4.37,nan
Net Income Margin,1.58,-2.63,1.09,nan,-2.98,-0.18,14.6,nan
ROA,1.66,-1.99,-0.3,nan,-2.66,0.68,7.36,nan
ROE,3.18,-5.37,2.43,nan,-7.18,-0.47,34.57,nan
EPS(KRW),663.0,-1093.0,485.0,nan,-336.0,-22.0,1666.0,nan
BPS(KRW),21315.0,20155.0,20434.0,nan,18989.0,18848.0,20434.0,nan
DPS(KRW),300.0,300.0,500.0,nan,nan,nan,500.0,nan
PER,25.66,nan,35.72,nan,nan,nan,nan,nan
PBR,0.8,0.81,0.85,nan,0.74,0.82,0.85,nan
Issued Shares,47028.0,47028.0,47028.0,nan,47028.0,47028.0,47028.0,nan
Div Yield,1.76,1.83,2.89,nan,nan,nan,2.89,nan
