level_0,index,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,FICS
0,507,000020,KR7000020008,동화약품,KOSPI,,6220,3,0,0.0,6240,6280,6220,36993,230851855,1737,27931470,STK,바이오/제약/신약개발,Pharmaceuticals
2,481,000050,KR7000050005,경방,KOSPI,,6900,1,230,3.45,6670,6900,6610,18236,124652620,1891,27415270,STK,의류,"Textiles,Apparel"
3,283,000070,KR7000070003,삼양홀딩스,KOSPI,,62300,1,300,0.48,62000,62600,61700,12571,782057400,5335,8564271,STK,지주회사,Chemicals
4,168,000080,KR7000080002,하이트진로,KOSPI,,19260,1,80,0.42,19240,19300,19210,38450,740274515,13507,70133611,STK,음식료,Beverages
5,46,000100,KR7000100008,유한양행,KOSPI,,115000,2,-900,-0.78,116200,117000,114900,264547,30632552100,92240,80209064,STK,바이오/제약/신약개발,Pharmaceuticals
6,136,000120,KR7000120006,CJ대한통운,KOSPI,,82500,2,-700,-0.84,83700,83800,82500,55975,4644130450,18820,22812344,STK,운송/항공/물류,Road & Rail
7,473,000140,KR7000140004,하이트진로홀딩스,KOSPI,,8460,1,30,0.36,8490,8490,8430,5535,46777960,1963,23206765,STK,지주회사,Beverages
8,70,000150,KR7000150003,두산,KOSPI,,308500,1,17000,5.83,299000,313500,294000,207207,62920763750,50976,16523835,STK,지주회사,Industrial Conglomerates
10,254,000210,KR7000210005,DL,KOSPI,,32200,1,400,1.26,32050,32500,31850,35694,1150714650,6747,20955884,STK,건설,Chemicals
13,163,000240,KR7000240002,한국앤컴퍼니,KOSPI,,14830,1,130,0.88,14770,14930,14680,107252,1589380495,14078,94935240,STK,자동차 부품,Auto Components
14,860,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,143200,1,2200,1.56,141700,146500,141700,154221,22194165950,33591,23457472,KSQ,바이오/제약/신약개발,Pharmaceuticals
15,8,000270,KR7000270009,기아,KOSPI,,88200,2,-600,-0.68,89500,89700,87500,1356631,120183836750,350747,397672632,STK,자동차,Automobiles
16,524,000300,KR7000300004,DH오토넥스,KOSPI,,1984,0,0,0.0,0,0,0,0,0,1616,81451691,STK,자동차 부품,Auto Components
17,471,000320,KR7000320002,노루홀딩스,KOSPI,,14850,1,150,1.02,14860,14900,14750,17477,259057170,1973,13291151,STK,지주회사,Building Products
18,307,000370,KR7000370007,한화손해보험,KOSPI,,4010,1,25,0.63,3965,4025,3950,196853,786535861,4681,116738915,STK,보험,Insurance
19,521,000390,KR7000390005,삼화페인트,KOSPI,,5990,2,-10,-0.17,6000,6060,5980,18978,114315265,1629,27203469,STK,건자재,Building Products
20,284,000400,KR7000400002,롯데손해보험,KOSPI,,1712,1,7,0.41,1707,1719,1702,61182,104713666,5312,310336320,STK,보험,Insurance
21,427,000430,KR7000430009,대원강업,KOSPI,,3825,1,90,2.41,3735,3860,3700,70753,267622140,2371,62000000,STK,자동차 부품,Auto Components
23,421,000480,KR7000480004,CR홀딩스,KOSPI,,5200,1,40,0.78,5200,5370,5170,43640,229479830,2438,46890490,STK,지주회사,Metal & Mining
24,400,000490,KR7000490003,대동,KOSPI,,10560,1,120,1.15,11480,11480,10550,737595,8018876800,2709,25654140,STK,조선/기계/중공업,Machinery
25,213,000500,KR7000500009,가온전선,KOSPI,,54700,2,-1400,-2.5,55300,56300,53900,123758,6777358150,9049,16543115,STK,전력기기,Electrical Equipment
26,384,000520,KR7000520007,삼일제약,KOSPI,,13370,2,-240,-1.76,13600,13800,13370,132480,1802055920,2900,21691811,STK,바이오/제약/신약개발,Pharmaceuticals
27,444,000540,KR7000540005,흥국화재,KOSPI,,3420,1,35,1.03,3385,3440,3355,119095,405127720,2197,64242645,STK,보험,Insurance
29,260,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,,98500,1,300,0.31,98500,99000,97600,9278,911336400,6438,6536434,STK,바이오/제약/신약개발,Pharmaceuticals
31,1,000660,KR7000660001,SK하이닉스,KOSPI,,184400,1,6100,3.42,182500,184900,182100,3507810,643236401050,1342436,728002365,STK,IT하드웨어/반도체,Semiconductors & Semiconductor Equipment
32,249,000670,KR7000670000,영풍,KOSPI,,37000,1,250,0.68,38550,38750,36500,55698,2065321800,7070,19108450,STK,철강/비철금속,Mobile phone and Mobile accessory
33,397,000680,KR7000680009,LS네트웍스,KOSPI,,3475,1,70,2.06,3435,3500,3410,683842,2366321838,2738,78803016,STK,의류,Capital Markets
34,551,000700,KR7000700005,유수홀딩스,KOSPI,,5580,1,10,0.18,5570,5590,5540,8154,45386830,1453,26041812,STK,지주회사,Marine
35,78,000720,KR7000720003,현대건설,KOSPI,,39350,2,-650,-1.63,40500,40500,39350,479374,19009972200,43818,111355765,STK,건설,Construction & Engineering
37,21,000810,KR7000810002,삼성화재,KOSPI,,360500,2,-1500,-0.41,362000,365000,360000,38979,14095655500,170786,47374837,STK,보험,Insurance
39,534,000860,KR7000860007,강남제비스코,KOSPI,,23850,0,0,0.0,0,0,0,0,0,1550,6500000,STK,건자재,Building Products
40,91,000880,KR7000880005,한화,KOSPI,,48800,1,2200,4.72,46850,49000,46300,527981,25465795450,36579,74958735,STK,지주회사,Industrial Conglomerates
44,516,000970,KR7000970004,한국주철관,KOSPI,,7330,1,90,1.24,7270,7980,7240,4655833,35606872040,1671,22800500,STK,철강/비철금속,Metal & Mining
45,137,000990,KR7000990002,DB하이텍,KOSPI,,42000,1,1150,2.82,41400,42100,40900,116051,4808619850,18647,44398588,STK,IT하드웨어/반도체,Semiconductors & Semiconductor Equipment
47,564,001020,KR7001020007,페이퍼코리아,KOSPI,,783,1,5,0.64,770,820,770,27518,21699000,1393,177983313,STK,기타,Paper & Forest Products
48,92,001040,KR7001040005,CJ,KOSPI,,125200,1,4000,3.3,121300,126500,119500,125567,15476592250,36529,29176998,STK,지주회사,Industrial Conglomerates
49,287,001060,KR7001060003,JW중외제약,KOSPI,,22100,2,-100,-0.45,22250,22250,21900,21540,474240225,5146,23285930,STK,바이오/제약/신약개발,Pharmaceuticals
51,617,001080,KR7001080001,만호제강,KOSPI,,26500,2,-300,-1.12,26800,27100,25950,725,19229050,1099,4150000,STK,철강/비철금속,Metal & Mining
52,198,001120,KR7001120005,LX인터내셔널,KOSPI,,26200,1,350,1.35,25850,26300,25850,104696,2735661900,10155,38760000,STK,유통,Trading Companies & Distributors
53,440,001130,KR7001130004,대한제분,KOSPI,,131700,1,1200,0.92,130600,131700,130600,329,43152800,2225,1690000,STK,음식료,Food Products
55,413,001200,KR7001200005,유진투자증권,KOSPI,,2625,1,10,0.38,2625,2635,2610,221428,580627120,2542,96866418,STK,증권,Capital Markets
57,434,001230,KR7001230002,동국홀딩스,KOSPI,,7180,1,130,1.84,7050,7210,7050,88876,636658145,2283,31800483,STK,지주회사,Metal & Mining
58,447,001250,KR7001250000,GS글로벌,KOSPI,,2625,1,10,0.38,2640,2660,2595,530379,1392677890,2166,82533764,STK,유통,Trading Companies & Distributors
60,390,001270,KR7001270008,부국증권,KOSPI,,27300,2,-100,-0.36,27400,27600,27250,718,19697750,2830,10369886,STK,증권,Capital Markets
62,365,001340,KR7001340009,PKC,KOSPI,,7310,1,1110,17.9,6300,7480,6260,1749446,12389544300,3283,44918407,STK,자동차 부품,Chemicals
63,554,001360,KR7001360007,삼성제약,KOSPI,,1529,1,8,0.53,1521,1532,1512,85253,129707116,1439,94162079,STK,바이오/제약/신약개발,Pharmaceuticals
65,395,001390,KR7001390004,KG케미칼,KOSPI,,4020,1,55,1.39,3965,4025,3930,176887,707412485,2752,68469040,STK,정유/화학/가스,Automobiles
67,263,001430,KR7001430008,세아베스틸지주,KOSPI,,17640,1,180,1.03,17400,17670,17400,34635,610365770,6326,35862119,STK,철강/비철금속,Metal & Mining
68,125,001440,KR7001440007,대한전선,KOSPI,,11770,1,100,0.86,11780,11830,11730,553813,6527267585,21944,186447300,STK,전력기기,Electrical Equipment
69,139,001450,KR7001450006,현대해상,KOSPI,,20800,2,-100,-0.48,21000,21150,20750,324407,6779624725,18595,89400000,STK,보험,Insurance
70,508,001460,KR7001460005,BYC,KOSPI,,27600,1,400,1.47,27050,27800,27050,1994,54510700,1723,6246150,STK,의류,"Textiles,Apparel"
72,345,001500,KR7001500008,현대차증권,KOSPI,,6000,1,180,3.09,5950,6050,5910,347545,2078083105,3709,61833044,STK,증권,Capital Markets
73,438,001510,KR7001510007,SK증권,KOSPI,,472,1,1,0.21,468,474,468,427970,201705867,2230,472590171,STK,증권,Capital Markets
74,555,001520,KR7001520006,동양,KOSPI,,600,1,15,2.56,586,605,585,234749,139951620,1432,238684063,STK,건설,Construction Materials
75,217,001530,KR7001530005,DI동일,KOSPI,,43850,1,100,0.23,44300,45500,43600,45940,2040321400,8916,20334136,STK,섬유/의류,"Textiles,Apparel"
79,262,001570,KR7001570001,금양,KOSPI,,9900,0,0,0.0,0,0,0,0,0,6332,63967196,STK,이차전지 소재,Chemicals
81,433,001630,KR7001630003,종근당홀딩스,KOSPI,,45650,2,-200,-0.44,45800,46200,45650,3410,156596875,2287,5009861,STK,지주회사,Pharmaceuticals
82,226,001680,KR7001680008,대상,KOSPI,,23950,1,550,2.35,23600,24500,23500,177275,4269071950,8298,34648025,STK,음식료,Food Products
83,173,001720,KR7001720002,신영증권,KOSPI,,80000,1,700,0.88,79300,80100,79250,6074,483281750,13152,16440000,STK,증권,Capital Markets
84,208,001740,KR7001740000,SK네트웍스,KOSPI,,4265,1,15,0.35,4270,4295,4255,205394,878493680,9437,221277902,STK,유통,Industrial Conglomerates
85,514,001750,KR7001750009,한양증권,KOSPI,,13210,3,0,0.0,13170,13300,13150,32029,424104310,1681,12728534,STK,증권,Capital Markets
87,453,001780,KR7001780006,알루코,KOSPI,,2165,1,10,0.46,2155,2180,2155,199684,432552673,2096,96830132,STK,철강/비철금속,Metal & Mining
88,354,001790,KR7001790005,대한제당,KOSPI,,3865,1,15,0.39,3940,4290,3710,30926408,124493202987,3466,89696580,STK,음식료,Food Products
89,190,001800,KR7001800002,오리온홀딩스,KOSPI,,17200,3,0,0.0,17120,17280,16900,122337,2090130280,10775,62645422,STK,음식료,Food Products
91,403,001820,KR7001820000,삼화콘덴서,KOSPI,,25600,1,500,1.99,25400,25700,25300,26659,680619950,2661,10395000,STK,IT하드웨어/반도체,Electrical Equipment
93,382,001940,KR7001940006,KISCO홀딩스,KOSPI,,20600,1,50,0.24,20550,20900,20550,10378,214817400,2920,14176380,STK,지주회사,Metal & Mining
94,377,002020,KR7002020006,코오롱,KOSPI,,23750,2,-300,-1.25,23900,24050,23450,58258,1381531400,2998,12626426,STK,정유/화학/가스,Industrial Conglomerates
95,279,002030,KR7002030005,아세아,KOSPI,,262000,2,-2000,-0.76,264000,264500,259000,1432,373633000,5460,2084140,STK,건자재,Paper & Forest Products
97,496,002100,KR7002100006,경농,KOSPI,,9200,2,-10,-0.11,9290,9290,9170,20417,188086195,1796,19522575,STK,정유/화학/가스,Chemicals
99,442,002150,KR7002150001,도화엔지니어링,KOSPI,,6570,1,10,0.15,6630,6630,6550,10054,66005325,2215,33720000,STK,건설,Construction & Engineering
100,557,002170,KR7002170009,삼양통상,KOSPI,,47600,1,300,0.63,47250,48200,47250,4342,206765100,1428,3000000,STK,의류,"Textiles,Apparel"
101,616,002200,KR7002200004,한국수출포장,KOSPI,,2790,2,-5,-0.18,2800,2800,2760,27321,75908188,1116,40000000,STK,유통/소매,Containers & Packaging
105,309,002240,KR7002240000,고려제강,KOSPI,,17210,2,-20,-0.12,17180,17340,17140,8100,139386080,4646,27000000,STK,철강/비철금속,Metal & Mining
107,386,002310,KR7002310001,아세아제지,KOSPI,,6930,2,-10,-0.14,6940,6990,6910,176697,1226462770,2885,41632510,STK,건자재,Paper & Forest Products
108,387,002320,KR7002320000,한진,KOSPI,,19030,1,360,1.93,18670,19050,18670,13736,260557570,2844,14947628,STK,운송/항공/물류,Road & Rail
109,286,002350,KR7002350007,넥센타이어,KOSPI,,5350,1,50,0.94,5300,5390,5270,83883,445992450,5225,97667877,STK,자동차 부품,Auto Components
111,124,002380,KR7002380004,KCC,KOSPI,,249000,1,2500,1.01,247500,252000,246500,17251,4305672500,22127,8886471,STK,건자재,Building Products
112,519,002390,KR7002390003,한독,KOSPI,,11940,2,-20,-0.17,12120,12250,11860,16657,199257680,1643,13763533,STK,바이오/제약/신약개발,Pharmaceuticals
115,612,002450,KR7002450005,삼익악기,KOSPI,,1249,3,0,0.0,1249,1255,1234,230036,285341596,1130,90530915,STK,홈리빙/가구,Leisure Equipment & Products
116,635,002460,KR7002460004,HS화성,KOSPI,,10040,1,140,1.41,9900,10050,9900,9954,99616070,1019,10150000,STK,자동차 부품,Construction & Engineering
118,584,002620,KR7002620003,제일파마홀딩스,KOSPI,,7990,2,-10,-0.13,8190,8190,7910,7788,62565370,1276,15973355,STK,지주회사,Pharmaceuticals
119,499,002630,KR7002630002,오리엔트바이오,KOSPI,,1502,2,-4,-0.27,1507,1522,1456,3423748,5086115194,1781,118583005,STK,바이오/제약/신약개발,Biotechnology
122,623,002700,KR7002700003,신일전자,KOSPI,,1515,2,-2,-0.13,1518,1544,1510,216349,329027040,1076,71047521,STK,가전제품,Household Durables
123,277,002710,KR7002710002,TCC스틸,KOSPI,,21050,1,150,0.72,21300,21450,20850,74187,1569466725,5517,26213697,STK,철강/비철금속,Metal & Mining
126,628,002780,KR7002780005,진흥기업,KOSPI,,726,1,3,0.41,724,745,721,670718,489171665,1056,145471745,STK,건설,Construction & Engineering
127,144,002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,21850,1,150,0.69,21700,21950,21600,101521,2215301100,17361,79458180,STK,화장품,Personal Products
128,1604,002800,KR7002800001,신신제약,KOSDAQ,중견기업부,6680,1,90,1.37,6500,7400,6300,8327269,57786429165,1013,15170500,KSQ,바이오/제약/신약개발,Pharmaceuticals
129,417,002810,KR7002810000,삼영무역,KOSPI,,13530,1,20,0.15,13520,13580,13450,11253,151961390,2498,18466948,STK,유통,Chemicals
131,216,002840,KR7002840007,미원상사,KOSPI,,189900,1,500,0.26,189500,191200,188700,1285,243535150,9020,4750000,STK,정유/화학/가스,Chemicals
134,462,002900,KR7002900009,TYM,KOSPI,,4550,1,35,0.78,4710,4815,4500,257483,1185850715,2049,45050956,STK,조선/기계/중공업,Machinery
136,313,002960,KR7002960003,한국쉘석유,KOSPI,,347500,1,3000,0.87,346000,349000,344500,2005,696042000,4517,1300000,STK,정유/화학/가스,Chemicals
137,619,002990,KR7002990000,금호건설,KOSPI,,2955,1,35,1.2,2925,3040,2925,123258,368838927,1091,36953595,STK,건설,Construction & Engineering
138,398,003000,KR7003000007,부광약품,KOSPI,,3990,3,0,0.0,3990,4025,3980,33435,133864585,2731,68454671,STK,바이오/제약/신약개발,Pharmaceuticals
140,205,003030,KR7003030004,세아제강지주,KOSPI,,231500,1,1000,0.43,230500,237500,225500,9722,2231856750,9587,4141657,STK,철강/비철금속,Metal & Mining
141,556,003060,KR7003060001,에이프로젠바이오로직스,KOSPI,,720,1,11,1.55,709,727,709,193796,139338334,1428,198407845,STK,바이오/제약/신약개발,Pharmaceuticals
142,520,003070,KR7003070000,코오롱글로벌,KOSPI,,8660,1,70,0.81,8660,8700,8590,20344,175928800,1639,18932713,STK,건설,Construction & Engineering
144,183,003090,KR7003090008,대웅,KOSPI,,19790,2,-170,-0.85,20650,20650,19790,29221,582025760,11506,58141980,STK,바이오/제약/신약개발,Pharmaceuticals
145,1564,003100,KR7003100005,선광,KOSDAQ,우량기업부,16280,1,90,0.56,16460,16460,16160,8255,134707530,1074,6600000,KSQ,운송/항공/물류,Transportation Infrastructure
146,452,003120,KR7003120003,일성아이에스,KOSPI,,15850,1,20,0.13,15970,15970,15770,1793,28391240,2108,13300000,STK,건설,Pharmaceuticals
147,325,003160,KR7003160009,디아이,KOSPI,,14800,1,520,3.64,14620,15000,14590,397633,5867640560,4188,28300000,STK,반도체 장비,Semiconductors & Semiconductor Equipment
148,472,003200,KR7003200003,일신방직,KOSPI,,8580,2,-20,-0.23,8610,8630,8530,7696,66029680,1969,22960000,STK,의류,"Textiles,Apparel"
149,373,003220,KR7003220001,대원제약,KOSPI,,13760,2,-40,-0.29,13800,13850,13700,16339,225040390,3086,22427583,STK,바이오/제약/신약개발,Pharmaceuticals
150,56,003230,KR7003230000,삼양식품,KOSPI,,939000,1,10000,1.08,939000,944000,924000,33816,31551790000,70735,7533015,STK,음식료,Food Products
151,229,003240,KR7003240009,태광산업,KOSPI,,730000,1,7000,0.97,720000,747000,720000,966,709906500,8127,1113400,STK,섬유/의류,Chemicals
152,340,003280,KR7003280005,흥아해운,KOSPI,,1604,1,14,0.88,1600,1606,1588,558070,891456538,3856,240424899,STK,운송/항공/물류,Marine
153,314,003300,KR7003300001,한일홀딩스,KOSPI,,14570,1,350,2.46,14230,14870,14230,17881,261827760,4492,30832884,STK,지주회사,Construction Materials
155,429,003350,KR7003350006,한국화장품제조,KOSPI,,51200,1,800,1.59,50500,51500,49350,45285,2278478300,2320,4532000,STK,화장품,Personal Products
156,932,003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,5920,1,40,0.68,5880,6000,5880,159393,946481330,6630,112005621,KSQ,지주회사,Food Products
157,571,003460,KR7003460003,유화증권,KOSPI,,2370,1,15,0.64,2355,2375,2350,2202,5206805,1343,56702415,STK,증권,Capital Markets
158,275,003470,KR7003470002,유안타증권,KOSPI,,2835,1,35,1.25,2815,2840,2795,272094,768217303,5658,199596576,STK,증권,Capital Markets
159,573,003480,KR7003480001,한진중공업홀딩스,KOSPI,,4520,1,285,6.73,4210,4570,4210,166215,731678292,1334,29529812,STK,지주회사,Gas Utility
160,53,003490,KR7003490000,대한항공,KOSPI,,20800,1,50,0.24,20900,20900,20650,676689,14060932075,76589,368220661,STK,운송/항공/물류,Airlines
161,344,003520,KR7003520004,영진약품,KOSPI,,2030,1,5,0.25,2025,2040,2025,78184,158703169,3712,182892731,STK,바이오/제약/신약개발,Pharmaceuticals
162,244,003530,KR7003530003,한화투자증권,KOSPI,,3355,1,45,1.36,3340,3375,3330,378202,1269686383,7198,214547775,STK,증권,Capital Markets
163,219,003540,KR7003540002,대신증권,KOSPI,,17330,2,-60,-0.35,17400,17490,17210,39738,688689055,8799,50773400,STK,증권,Capital Markets
164,41,003550,KR7003550001,LG,KOSPI,,65100,1,100,0.15,65200,65900,64900,133229,8704916950,102402,157300993,STK,지주회사,Industrial Conglomerates
166,186,003570,KR7003570009,SNT다이내믹스,KOSPI,,33850,2,-50,-0.15,33550,34000,33050,69814,2330472175,11256,33252697,STK,방위산업,Auto Components
167,537,003580,KR7003580008,HLB글로벌,KOSPI,,3055,1,35,1.16,3000,3055,2975,50238,151896608,1534,50218121,STK,유통,Distributors
168,533,003610,KR7003610003,방림,KOSPI,,3890,3,0,0.0,3890,3940,3875,25247,98280578,1563,40202158,STK,섬유,"Textiles,Apparel"
169,261,003620,KR7003620002,KG모빌리티,KOSPI,,3260,0,0,0.0,0,0,0,0,0,6402,196404254,STK,자동차,Automobiles
170,494,003650,KR7003650009,미창석유,KOSPI,,104000,1,4100,4.1,103000,108000,98600,1365,141789750,1809,1739672,STK,정유/화학/가스,Chemicals
171,42,003670,KR7003670007,포스코퓨처엠,KOSPI,,128800,2,-1400,-1.08,130800,131300,126900,307021,39469158250,99772,77463220,STK,이차전지 소재,Chemicals
173,155,003690,KR7003690005,코리안리,KOSPI,,7950,2,-40,-0.5,7990,8030,7950,187798,1500252005,15488,194821031,STK,보험,Insurance
174,565,003720,KR7003720000,삼영,KOSPI,,4080,2,-140,-3.32,4210,4320,3970,103169,429038797,1387,34000000,STK,기타,Containers & Packaging
176,1108,003800,KR7003800000,에이스침대,KOSDAQ,우량기업부,25350,1,100,0.4,25200,25400,25150,2749,69421100,2811,11090000,KSQ,홈리빙/가구,Household Durables
177,548,003830,KR7003830007,대한화섬,KOSPI,,110500,1,400,0.36,111100,111100,108600,229,25112400,1467,1328000,STK,섬유,Chemicals
178,237,003850,KR7003850005,보령,KOSPI,,8520,2,-60,-0.7,8580,8580,8490,73459,626157835,7394,86787207,STK,바이오/제약/신약개발,Pharmaceuticals
179,317,003920,KR7003920006,남양유업,KOSPI,,72600,2,-900,-1.22,73400,74500,72400,8259,601083400,4451,6131346,STK,음식료,Food Products
180,351,003960,KR7003960002,사조대림,KOSPI,,38500,1,250,0.65,38600,38750,38150,6269,239794100,3528,9164467,STK,음식료,Food Products
181,218,004000,KR7004000006,롯데정밀화학,KOSPI,,34200,1,400,1.18,34100,34600,33900,35415,1211910025,8823,25800000,STK,정유/화학/가스,Chemicals
182,101,004020,KR7004020004,현대제철,KOSPI,,24050,2,-200,-0.82,24500,24600,23900,507164,12245683750,32093,133445785,STK,철강/비철금속,Metal & Mining
184,566,004080,KR7004080008,신흥,KOSPI,,14600,1,90,0.62,14820,14820,14520,668,9763590,1387,9500000,STK,철강/비철금속,Health Care Equipment & Supplies
185,525,004090,KR7004090007,한국석유,KOSPI,,12610,1,280,2.27,12330,12610,12220,73607,917881885,1600,12694120,STK,정유/화학/가스,Chemicals
186,563,004100,KR7004100004,태양금속,KOSPI,,3815,1,400,11.71,3560,3930,3440,9739913,36554618018,1400,36700000,STK,자동차 부품,Auto Components
