Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,FICS
000490,KR7000490003,대동,KOSPI,,10660,2,-230,-2.11,10770,10780,10600,64660,689376530,2734,25654140,STK,조선/기계/중공업,Machinery
000500,KR7000500009,가온전선,KOSPI,,64700,1,1900,3.03,62500,65400,61200,61060,3865761400,10703,16543115,STK,전력기기,Electrical Equipment
000520,KR7000520007,삼일제약,KOSPI,,12700,1,150,1.2,12530,13300,12150,228766,2868275515,2754,21691811,STK,바이오/제약/신약개발,Pharmaceuticals
000540,KR7000540005,흥국화재,KOSPI,,3540,1,50,1.43,3490,3545,3445,97414,340195825,2274,64242645,STK,보험,Insurance
000640,KR7000640003,동아쏘시오홀딩스,KOSPI,,100900,1,1300,1.31,100500,101000,99100,8024,806735600,6595,6536434,STK,지주회사,Pharmaceuticals
000660,KR7000660001,SK하이닉스,KOSPI,,204000,2,-2000,-0.97,207500,208000,203500,1685006,346658334250,1485124,728002365,STK,IT하드웨어/반도체,Semiconductors & Semiconductor Equipment
000670,KR7000670000,영풍,KOSPI,,36650,1,50,0.14,36500,36650,36000,6975,254472850,7003,19108450,STK,철강/비철금속,Mobile phone and Mobile accessory
000680,KR7000680009,LS네트웍스,KOSPI,,3645,2,-70,-1.88,3740,3740,3640,238093,874850706,2872,78803016,STK,유통/소매,Capital Markets
000700,KR7000700005,유수홀딩스,KOSPI,,5450,3,0,0.0,5470,5470,5400,12528,67958970,1419,26041812,STK,지주회사,Marine
000720,KR7000720003,현대건설,KOSPI,,43700,3,0,0.0,43050,43950,42750,292561,12721496675,48662,111355765,STK,건설,Construction & Engineering
000810,KR7000810002,삼성화재,KOSPI,,368000,2,-10000,-2.65,371500,376500,368000,47449,17669935250,174339,47374837,STK,보험,Insurance
000860,KR7000860007,강남제비스코,KOSPI,,12660,1,20,0.16,12760,12760,12500,10972,137932200,1645,13000000,STK,건자재,Building Products
000880,KR7000880005,한화,KOSPI,,51600,1,1000,1.98,51500,52300,50500,150258,7752968200,38678,74958735,STK,지주회사,Industrial Conglomerates
000970,KR7000970004,한국주철관,KOSPI,,7090,2,-140,-1.94,7230,7230,7060,114088,810776370,1616,22800500,STK,철강/비철금속,Metal & Mining
000990,KR7000990002,DB하이텍,KOSPI,,39750,2,-50,-0.13,39850,40050,39450,65147,2595303075,17648,44398588,STK,IT하드웨어/반도체,Semiconductors & Semiconductor Equipment
001020,KR7001020007,페이퍼코리아,KOSPI,,785,1,15,1.95,770,795,770,94422,73639597,1397,177983313,STK,기타,Paper & Forest Products
001040,KR7001040005,CJ,KOSPI,,127400,2,-300,-0.23,127000,130400,126100,61050,7828904250,37171,29176998,STK,지주회사,Industrial Conglomerates
001060,KR7001060003,JW중외제약,KOSPI,,22050,2,-150,-0.68,22050,22100,21800,31676,695224550,5134,23285930,STK,바이오/제약/신약개발,Pharmaceuticals
001080,KR7001080001,만호제강,KOSPI,,27100,1,100,0.37,26550,27800,26550,668,18272200,1124,4150000,STK,철강/비철금속,Metal & Mining
001120,KR7001120005,LX인터내셔널,KOSPI,,28050,1,350,1.26,28000,28250,27550,125764,3526675850,10872,38760000,STK,유통,Trading Companies & Distributors
001130,KR7001130004,대한제분,KOSPI,,136200,1,1300,0.96,135000,136700,135000,452,61417800,2301,1690000,STK,음식료,Food Products
001200,KR7001200005,유진투자증권,KOSPI,,3035,1,50,1.68,2975,3070,2930,533483,1602434128,2939,96866418,STK,증권,Capital Markets
001230,KR7001230002,동국홀딩스,KOSPI,,7590,1,40,0.53,7550,7690,7480,50063,381324025,2413,31800483,STK,지주회사,Metal & Mining
001250,KR7001250000,GS글로벌,KOSPI,,2575,2,-30,-1.15,2605,2615,2560,293775,756740045,2125,82533764,STK,유통,Trading Companies & Distributors
001270,KR7001270008,부국증권,KOSPI,,30500,2,-450,-1.45,31050,31400,30300,30762,950525250,3162,10369886,STK,증권,Capital Markets
001340,KR7001340009,PKC,KOSPI,,6010,2,-30,-0.5,6070,6070,5950,49318,295554360,2699,44918407,STK,자동차 부품,Chemicals
001360,KR7001360007,삼성제약,KOSPI,,1496,1,1,0.07,1497,1500,1486,114071,170493265,1408,94162079,STK,바이오/제약/신약개발,Pharmaceuticals
001390,KR7001390004,KG케미칼,KOSPI,,4015,1,35,0.88,3980,4035,3940,110395,443045355,2749,68469040,STK,정유/화학/가스,Automobiles
001430,KR7001430008,세아베스틸지주,KOSPI,,18500,1,90,0.49,18230,18510,18130,31036,572204540,6634,35862119,STK,지주회사,Metal & Mining
001440,KR7001440007,대한전선,KOSPI,,12300,2,-180,-1.44,12800,12800,12210,749072,9312813935,22933,186447300,STK,전력기기,Electrical Equipment
001450,KR7001450006,현대해상,KOSPI,,22575,1,425,1.92,21950,23050,21950,337580,7676660500,20182,89400000,STK,보험,Insurance
001460,KR7001460005,BYC,KOSPI,,34050,1,1150,3.5,33200,34650,33000,6544,222114150,2126,6246150,STK,의류,"Textiles,Apparel"
001500,KR7001500008,현대차증권,KOSPI,,6590,1,30,0.46,6560,6650,6500,138277,913628795,4074,61833044,STK,증권,Capital Markets
001510,KR7001510007,SK증권,KOSPI,,517,2,-5,-0.96,521,522,512,739129,381673910,2443,472590171,STK,증권,Capital Markets
001520,KR7001520006,동양,KOSPI,,552,2,-5,-0.9,562,562,551,283279,156817984,1317,238684063,STK,건자재,Construction Materials
001530,KR7001530005,DI동일,KOSPI,,35750,2,-500,-1.38,36000,36700,35600,7712,276386500,7269,20334136,STK,건자재,"Textiles,Apparel"
001570,KR7001570001,금양,KOSPI,,9900,0,0,0.0,0,0,0,0,0,6332,63967196,STK,이차전지 소재,Chemicals
001630,KR7001630003,종근당홀딩스,KOSPI,,49950,1,550,1.11,49400,50100,49250,2714,135068050,2502,5009861,STK,지주회사,Pharmaceuticals
001680,KR7001680008,대상,KOSPI,,24600,1,250,1.03,24200,24850,24150,53282,1312192875,8523,34648025,STK,음식료,Food Products
001720,KR7001720002,신영증권,KOSPI,,105800,2,-1200,-1.12,107100,108700,104600,12838,1377135500,17393,16440000,STK,증권,Capital Markets
001740,KR7001740000,SK네트웍스,KOSPI,,4070,2,-70,-1.69,4135,4150,4055,436049,1783650437,9006,221277902,STK,유통,Industrial Conglomerates
001750,KR7001750009,한양증권,KOSPI,,14080,2,-40,-0.28,14140,14170,14000,6964,98298485,1792,12728534,STK,증권,Capital Markets
001780,KR7001780006,알루코,KOSPI,,2395,1,15,0.63,2390,2395,2340,253868,601354410,2319,96830132,STK,철강/비철금속,Metal & Mining
001790,KR7001790005,대한제당,KOSPI,,2735,2,-35,-1.26,2770,2785,2730,803823,2215938472,2453,89696580,STK,음식료,Food Products
001800,KR7001800002,오리온홀딩스,KOSPI,,18890,2,-760,-3.87,19400,19460,18810,123975,2357532835,11833,62645422,STK,지주회사,Food Products
001820,KR7001820000,삼화콘덴서,KOSPI,,25300,2,-600,-2.32,25900,25900,25300,14593,371246700,2629,10395000,STK,IT하드웨어/반도체,Electrical Equipment
001940,KR7001940006,KISCO홀딩스,KOSPI,,21450,2,-50,-0.23,21750,21750,21200,1745,37231150,3040,14176380,STK,지주회사,Metal & Mining
002020,KR7002020006,코오롱,KOSPI,,23250,1,400,1.75,22850,23550,22750,24235,561614125,2935,12626426,STK,정유/화학/가스,Industrial Conglomerates
002030,KR7002030005,아세아,KOSPI,,272000,1,4000,1.49,268500,275500,267000,759,206199500,5668,2084140,STK,건자재,Paper & Forest Products
002100,KR7002100006,경농,KOSPI,,9350,3,0,0.0,9360,9390,9240,9128,85087080,1825,19522575,STK,정유/화학/가스,Chemicals
002150,KR7002150001,도화엔지니어링,KOSPI,,6570,2,-90,-1.35,6680,6680,6540,21211,139581070,2215,33720000,STK,건설,Construction & Engineering
002170,KR7002170009,삼양통상,KOSPI,,48650,1,150,0.31,48500,48900,48100,580,28093550,1459,3000000,STK,의류,"Textiles,Apparel"
002200,KR7002200004,한국수출포장,KOSPI,,2825,3,0,0.0,2800,2835,2800,22178,62481293,1130,40000000,STK,제지,Containers & Packaging
002240,KR7002240000,고려제강,KOSPI,,17290,2,-120,-0.69,17380,17480,17250,3711,64334290,4668,27000000,STK,철강/비철금속,Metal & Mining
002310,KR7002310001,아세아제지,KOSPI,,7010,2,-70,-0.99,7080,7080,6990,29956,210141845,2918,41632510,STK,제지,Paper & Forest Products
002320,KR7002320000,한진,KOSPI,,19810,2,-540,-2.65,20350,20350,19710,25306,504224135,2961,14947628,STK,운송/항공/물류,Road & Rail
002350,KR7002350007,넥센타이어,KOSPI,,5930,1,10,0.17,5920,5940,5830,73923,434649555,5791,97667877,STK,자동차 부품,Auto Components
002380,KR7002380004,KCC,KOSPI,,264500,2,-500,-0.19,264000,268500,263500,9405,2494310500,23504,8886471,STK,건자재,Building Products
002390,KR7002390003,한독,KOSPI,,11500,2,-200,-1.71,11630,11680,11450,13381,154047170,1582,13763533,STK,바이오/제약/신약개발,Pharmaceuticals
002450,KR7002450005,삼익악기,KOSPI,,1249,2,-51,-3.92,1300,1306,1247,194434,244818878,1130,90530915,STK,홈리빙/가구,Leisure Equipment & Products
002460,KR7002460004,HS화성,KOSPI,,10090,1,70,0.7,10030,10100,9990,7088,71133190,1024,10150000,STK,정유/화학/가스,Construction & Engineering
002620,KR7002620003,제일파마홀딩스,KOSPI,,8030,1,40,0.5,7990,8040,7960,1225,9823500,1282,15973355,STK,지주회사,Pharmaceuticals
002630,KR7002630002,오리엔트바이오,KOSPI,,1448,2,-117,-7.48,1565,1565,1436,4208738,6209945318,1717,118583005,STK,바이오/제약/신약개발,Biotechnology
002700,KR7002700003,신일전자,KOSPI,,1525,2,-19,-1.23,1563,1563,1523,313560,479752534,1083,71047521,STK,가전제품,Household Durables
002710,KR7002710002,TCC스틸,KOSPI,,19430,2,-330,-1.67,19770,19810,19420,66728,1304445130,5093,26213697,STK,철강/비철금속,Metal & Mining
002780,KR7002780005,진흥기업,KOSPI,,747,2,-18,-2.35,765,765,736,327828,245052588,1086,145471745,STK,건설,Construction & Engineering
002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,22800,2,-300,-1.3,22900,23500,22650,47932,1097785450,18116,79458180,STK,지주회사,Personal Products
002810,KR7002810000,삼영무역,KOSPI,,14170,1,110,0.78,14000,14200,13990,8537,120720595,2616,18466948,STK,유통,Chemicals
002840,KR7002840007,미원상사,KOSPI,,187800,2,-2200,-1.16,190000,190000,187500,840,158858100,8920,4750000,STK,정유/화학/가스,Chemicals
002900,KR7002900009,TYM,KOSPI,,5260,1,20,0.38,5210,5290,5140,278784,1456509295,2369,45050956,STK,조선/기계/중공업,Machinery
002960,KR7002960003,한국쉘석유,KOSPI,,368000,2,-9000,-2.39,377500,377500,366500,1557,578242750,4784,1300000,STK,정유/화학/가스,Chemicals
002990,KR7002990000,금호건설,KOSPI,,2865,1,30,1.06,2845,3000,2800,45215,128408245,1059,36996760,STK,건설,Construction & Engineering
003000,KR7003000007,부광약품,KOSPI,,4110,1,80,1.99,4035,4150,3990,54305,220955905,2813,68454671,STK,바이오/제약/신약개발,Pharmaceuticals
003030,KR7003030004,세아제강지주,KOSPI,,219500,2,-2000,-0.9,218500,220000,216000,3412,743880000,9090,4141657,STK,지주회사,Metal & Mining
003060,KR7003060001,에이프로젠바이오로직스,KOSPI,,672,1,1,0.15,673,679,661,141306,94283098,1333,198407845,STK,바이오/제약/신약개발,Pharmaceuticals
003070,KR7003070000,코오롱글로벌,KOSPI,,8760,2,-40,-0.45,8850,8930,8750,4794,42204130,1658,18932713,STK,건설,Construction & Engineering
003090,KR7003090008,대웅,KOSPI,,20350,1,250,1.24,19830,20500,19830,22762,462151145,11831,58141980,STK,바이오/제약/신약개발,Pharmaceuticals
003100,KR7003100005,선광,KOSDAQ,우량기업부,17440,1,470,2.77,17040,17560,17020,29687,516731680,1151,6600000,KSQ,운송/항공/물류,Transportation Infrastructure
003120,KR7003120003,일성아이에스,KOSPI,,17110,1,60,0.35,16900,17140,16900,5887,100348980,2275,13300000,STK,건자재,Pharmaceuticals
003160,KR7003160009,디아이,KOSPI,,15590,2,-480,-2.99,16080,16270,15580,261248,4131923265,4411,28300000,STK,반도체 장비,Semiconductors & Semiconductor Equipment
003200,KR7003200003,일신방직,KOSPI,,9400,1,110,1.18,9380,9420,9270,33534,313931400,2158,22960000,STK,의류,"Textiles,Apparel"
003220,KR7003220001,대원제약,KOSPI,,13900,1,70,0.51,13770,14070,13750,54870,760150615,3117,22427583,STK,바이오/제약/신약개발,Pharmaceuticals
003230,KR7003230000,삼양식품,KOSPI,,992000,2,-7000,-0.7,999000,1010000,991000,27425,27422495000,74727,7533015,STK,음식료,Food Products
003240,KR7003240009,태광산업,KOSPI,,867000,1,27000,3.21,844000,872000,840000,764,656840500,9653,1113400,STK,정유/화학/가스,Chemicals
003280,KR7003280005,흥아해운,KOSPI,,1601,2,-20,-1.23,1670,1670,1600,2216429,3617427732,3849,240424899,STK,운송/항공/물류,Marine
003300,KR7003300001,한일홀딩스,KOSPI,,15780,1,370,2.4,15560,15850,15460,11018,172783585,4865,30832884,STK,지주회사,Construction Materials
003350,KR7003350006,한국화장품제조,KOSPI,,53600,2,-900,-1.65,54500,54900,53600,24696,1337537200,2429,4532000,STK,화장품,Personal Products
003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,6830,1,200,3.02,6630,6880,6630,215693,1467788195,7649,112005621,KSQ,음식료,Food Products
003460,KR7003460003,유화증권,KOSPI,,2450,2,-25,-1.01,2475,2475,2425,15589,38076537,1389,56702415,STK,증권,Capital Markets
003470,KR7003470002,유안타증권,KOSPI,,3150,2,-20,-0.63,3170,3200,3140,528015,1671700436,6287,199596576,STK,증권,Capital Markets
003480,KR7003480001,한진중공업홀딩스,KOSPI,,4945,1,205,4.32,4740,5540,4660,717151,3696457804,1460,29529812,STK,지주회사,Gas Utility
003490,KR7003490000,대한항공,KOSPI,,22500,2,-300,-1.32,22900,23100,22400,689993,15647094100,82849,368220661,STK,운송/항공/물류,Airlines
003520,KR7003520004,영진약품,KOSPI,,2285,1,260,12.84,2005,2480,2000,12374116,28583526597,4179,182892731,STK,바이오/제약/신약개발,Pharmaceuticals
003530,KR7003530003,한화투자증권,KOSPI,,3825,1,55,1.46,3830,3860,3785,897818,3436849400,8206,214547775,STK,증권,Capital Markets
003540,KR7003540002,대신증권,KOSPI,,19930,1,60,0.3,19870,20100,19720,79481,1583221230,10119,50773400,STK,증권,Capital Markets
003550,KR7003550001,LG,KOSPI,,69000,2,-1100,-1.57,69400,70100,69000,44687,3108715650,108537,157300993,STK,지주회사,Industrial Conglomerates
003570,KR7003570009,SNT다이내믹스,KOSPI,,32650,2,-550,-1.66,33400,33450,31900,55011,1790033050,10857,33252697,STK,방위산업,Auto Components
003580,KR7003580008,HLB글로벌,KOSPI,,3105,2,-15,-0.48,3110,3160,3080,14574,45279375,1559,50218121,STK,유통/소매,Distributors
003610,KR7003610003,방림,KOSPI,,4015,2,-60,-1.47,4100,4120,4005,68442,276670540,1614,40202158,STK,의류,"Textiles,Apparel"
003620,KR7003620002,KG모빌리티,KOSPI,,3420,2,-80,-2.29,3470,3550,3420,218839,757932707,6920,202356634,STK,자동차,Automobiles
003650,KR7003650009,미창석유,KOSPI,,101000,2,-100,-0.1,101100,102000,100800,356,36015600,1757,1739672,STK,정유/화학/가스,Chemicals
003670,KR7003670007,포스코퓨처엠,KOSPI,,114700,2,-600,-0.52,114000,116000,112500,132861,15212080350,88850,77463220,STK,이차전지 소재,Chemicals
003690,KR7003690005,코리안리,KOSPI,,8100,3,0,0.0,8100,8130,8080,50729,410988980,15780,194821031,STK,보험,Insurance
003720,KR7003720000,삼영,KOSPI,,4280,1,45,1.06,4270,4350,4170,97640,418881287,1455,34000000,STK,건자재,Containers & Packaging
003800,KR7003800000,에이스침대,KOSDAQ,우량기업부,25750,3,0,0.0,25600,26000,25400,1521,38933700,2855,11090000,KSQ,홈리빙/가구,Household Durables
003830,KR7003830007,대한화섬,KOSPI,,122100,2,-100,-0.08,122800,123000,121800,95,11608600,1621,1328000,STK,섬유/의류,Chemicals
003850,KR7003850005,보령,KOSPI,,8520,1,10,0.12,8520,8580,8440,50676,430541935,7309,85787207,STK,바이오/제약/신약개발,Pharmaceuticals
003920,KR7003920006,남양유업,KOSPI,,81900,1,1500,1.87,82100,82400,80400,7299,595542400,5021,6131346,STK,음식료,Food Products
003960,KR7003960002,사조대림,KOSPI,,40550,2,-150,-0.37,40350,40900,40350,7045,286571450,3716,9164467,STK,음식료,Food Products
004000,KR7004000006,롯데정밀화학,KOSPI,,36550,1,250,0.69,36200,36750,36000,19714,718614575,9429,25800000,STK,정유/화학/가스,Chemicals
004020,KR7004020004,현대제철,KOSPI,,25950,1,450,1.76,25400,26100,25200,209238,5398665600,34629,133445785,STK,철강/비철금속,Metal & Mining
004080,KR7004080008,신흥,KOSPI,,14560,2,-30,-0.21,14470,14610,14470,1116,16258150,1383,9500000,STK,헬스케어,Health Care Equipment & Supplies
004090,KR7004090007,한국석유,KOSPI,,12340,2,-50,-0.4,12310,12380,12190,36651,449508755,1566,12694120,STK,정유/화학/가스,Chemicals
004140,KR7004140000,동방,KOSPI,,2417,2,-68,-2.74,2500,2510,2395,757054,1856998089,1159,47971766,STK,운송/항공/물류,Transportation Infrastructure
004150,KR7004150009,한솔홀딩스,KOSPI,,2605,1,20,0.77,2590,2610,2590,38562,100350395,1068,41026620,STK,지주회사,Industrial Conglomerates
004170,KR7004170007,신세계,KOSPI,,169700,1,4700,2.85,165700,170900,165600,21312,3597954850,16367,9645181,STK,유통/소매,Multiline Retail
004250,KR7004250007,NPC,KOSPI,,4290,1,45,1.06,4245,4540,4200,122709,536473088,1575,36720000,STK,조선/기계/중공업,Containers & Packaging
004310,KR7004310009,현대약품,KOSPI,,3490,1,40,1.16,3440,3520,3430,306510,1063157727,1116,32000000,STK,바이오/제약/신약개발,Pharmaceuticals
004360,KR7004360004,세방,KOSPI,,12370,1,90,0.73,12300,12390,12260,25029,308578520,2388,19308690,STK,운송/항공/물류,Road & Rail
004370,KR7004370003,농심,KOSPI,,416500,2,-5500,-1.3,418500,429000,415000,17086,7238775750,25334,6082642,STK,음식료,Food Products
004380,KR7004380002,삼익THK,KOSPI,,9960,0,0,0.0,0,0,0,0,0,2091,21000000,STK,조선/기계/중공업,Machinery
004430,KR7004430005,송원산업,KOSPI,,11870,2,-170,-1.41,12030,12040,11850,15468,184352560,2848,24000000,STK,정유/화학/가스,Chemicals
004490,KR7004490009,세방전지,KOSPI,,73000,1,200,0.27,72700,74500,72300,33497,2471590300,10220,14000000,STK,이차전지 배터리,Auto Components
004560,KR7004560009,현대비앤지스틸,KOSPI,,12060,2,-110,-0.9,12150,12150,11980,12831,154502920,1818,15078811,STK,철강/비철금속,Metal & Mining
004690,KR7004690004,삼천리,KOSPI,,96950,1,1450,1.52,95800,97200,95600,9090,877516500,3931,4055025,STK,유틸리티,Gas Utility
004700,KR7004700001,조광피혁,KOSPI,,52700,2,-400,-0.75,53100,53100,52600,922,48796600,3504,6649138,STK,의류,"Textiles,Apparel"
004710,KR7004710000,한솔테크닉스,KOSPI,,5230,2,-40,-0.76,5310,5370,5210,155448,821025505,1679,32109878,STK,IT하드웨어/반도체,Electtronic Equipment & Instruments
004800,KR7004800009,효성,KOSPI,,54200,2,-500,-0.91,54800,54800,53700,5851,316352600,9073,16740407,STK,지주회사,Industrial Conglomerates
004890,KR7004890000,동일산업,KOSPI,,43850,2,-300,-0.68,43800,44100,43100,872,38128400,1063,2425215,STK,철강/비철금속,Metal & Mining
004970,KR7004970000,신라교역,KOSPI,,9395,2,-15,-0.16,9410,9420,9320,7762,72716180,1503,16000000,STK,음식료,Food Products
004980,KR7004980009,성신양회,KOSPI,,9050,2,-110,-1.2,9130,9270,8990,156389,1419070385,2218,24516073,STK,건자재,Construction Materials
004990,KR7004990008,롯데지주,KOSPI,,23950,2,-150,-0.62,23750,24500,23750,107945,2616787650,25125,104909237,STK,지주회사,Industrial Conglomerates
005010,KR7005010004,휴스틸,KOSPI,,4845,2,-75,-1.52,4910,4910,4825,189970,921824351,2722,56188075,STK,철강/비철금속,Metal & Mining
005070,KR7005070008,코스모신소재,KOSPI,,36000,2,-700,-1.91,36500,36950,35950,83809,3055086700,11703,32510756,STK,이차전지 소재,Chemicals
005090,KR7005090006,SGC에너지,KOSPI,,23500,1,50,0.21,23500,23800,23350,9881,232830950,3386,14409333,STK,유틸리티,Energy Equipment & service
005160,KR7005160007,동국산업,KOSDAQ,중견기업부,3705,2,-15,-0.4,3720,3740,3630,37619,138838543,2009,54244482,KSQ,철강/비철금속,Metal & Mining
005180,KR7005180005,빙그레,KOSPI,,94200,2,-2200,-2.28,96100,96100,93600,27245,2565403150,9279,9851241,STK,음식료,Food Products
005250,KR7005250006,녹십자홀딩스,KOSPI,,13880,2,-40,-0.29,13750,14000,13750,19810,275000850,6527,47028210,STK,지주회사,Pharmaceuticals
005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,30350,2,-450,-1.46,30650,31500,30250,227499,7014731350,15604,51414494,KSQ,반도체 소재,Semiconductors & Semiconductor Equipment
005300,KR7005300009,롯데칠성,KOSPI,,103200,2,-500,-0.48,103200,103700,103100,5752,594513500,9575,9278884,STK,음식료,Beverages
005380,KR7005380001,현대차,KOSPI,,194400,2,-2700,-1.37,195200,196900,194200,263259,51357789950,407105,209416191,STK,자동차,Automobiles
005390,KR7005390000,신성통상,KOSPI,,2445,3,0,0.0,2440,2490,2430,107688,263296372,3513,143708390,STK,의류,"Textiles,Apparel"
005420,KR7005420005,코스모화학,KOSPI,,14810,1,280,1.93,14540,15040,14260,143619,2118311865,5688,38408228,STK,정유/화학/가스,Chemicals
005430,KR7005430004,한국공항,KOSPI,,53300,2,-900,-1.66,54300,54400,52900,4895,261845800,1687,3166355,STK,운송/항공/물류,Airlines
005440,KR7005440003,현대지에프홀딩스,KOSPI,,6210,1,100,1.64,6110,6220,6020,220783,1359619290,9681,155904301,STK,지주회사,Industrial Conglomerates
005490,KR7005490008,POSCO홀딩스,KOSPI,,251000,2,-1000,-0.4,250500,253500,250500,75647,19029051250,203141,80932952,STK,철강/비철금속,Metal & Mining
005500,KR7005500004,삼진제약,KOSPI,,17900,1,60,0.34,17870,17990,17760,9930,177394350,2488,13900000,STK,바이오/제약/신약개발,Pharmaceuticals
005610,KR7005610001,SPC삼립,KOSPI,,59400,1,600,1.02,58600,59600,58500,8934,528141150,5125,8629009,STK,음식료,Food Products
005680,KR7005680004,삼영전자,KOSPI,,10670,2,-160,-1.48,10830,10850,10670,12780,137043250,2134,20000000,STK,IT하드웨어/반도체,Electrical Equipment
005690,KR7005690003,파미셀,KOSPI,,11540,2,-100,-0.86,11630,11630,11300,549596,6295293005,6925,60016964,STK,바이오/제약/신약개발,Biotechnology
005710,KR7005710009,대원산업,KOSDAQ,우량기업부,7830,2,-130,-1.63,7930,7950,7820,13819,108871960,1568,20037600,KSQ,자동차 부품,Auto Components
005720,KR7005720008,넥센,KOSPI,,5360,1,40,0.75,5260,5380,5230,13242,70509585,2869,53543977,STK,자동차 부품,Auto Components
005800,KR7005800008,신영와코루,KOSPI,,11190,2,-60,-0.53,11350,11410,11020,8692,97639295,1007,9000000,STK,의류,"Textiles,Apparel"
005810,KR7005810007,풍산홀딩스,KOSPI,,28950,2,-50,-0.17,29000,29200,28600,9161,264658200,4173,14417292,STK,지주회사,Metal & Mining
005830,KR7005830005,DB손해보험,KOSPI,,96900,1,4300,4.64,92200,97500,91900,214101,20583390050,68605,70800000,STK,보험,Insurance
005850,KR7005850003,에스엘,KOSPI,,33100,2,-350,-1.05,33050,33350,32950,47799,1582776200,15374,46448520,STK,자동차 부품,Auto Components
005860,KR7005860002,한일사료,KOSDAQ,우량기업부,3590,2,-5,-0.14,3625,3630,3580,49887,179014356,1414,39403685,KSQ,음식료,Food Products
005870,KR7005870001,휴니드,KOSPI,,8670,1,310,3.71,8500,8900,8450,1177496,10182671415,1223,14116015,STK,방위산업,Commuications Equipment
