Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,FICS
005930,KR7005930003,삼성전자,KOSPI,,55400,1,100,0.18,55200,56000,55100,4231658,234771094550,3279479,5919637922,STK,Semiconductors & Semiconductor Equipment
000660,KR7000660001,SK하이닉스,KOSPI,,177000,1,2000,1.14,174800,180000,174500,1450736,257597094700,1288564,728002365,STK,Semiconductors & Semiconductor Equipment
373220,KR7373220003,LG에너지솔루션,KOSPI,,335500,2,-2500,-0.74,337000,340500,334500,48991,16504187500,785070,234000000,STK,Electtronic Equipment & Instruments
207940,KR7207940008,삼성바이오로직스,KOSPI,,1067000,1,18000,1.72,1053000,1079000,1047000,25979,27771386000,759426,71174000,STK,Biotechnology
005380,KR7005380001,현대차,KOSPI,,187200,3,0,0.0,187500,188800,185500,265118,49623146250,392027,209416191,STK,Automobiles
012450,KR7012450003,한화에어로스페이스,KOSPI,,833000,1,5000,0.6,850000,850000,813000,167017,138676301500,379691,45581161,STK,Commercial Services & Supplies
068270,KR7068270008,셀트리온,KOSPI,,157300,2,-100,-0.06,157800,159500,156600,201827,31926881600,351185,223258283,STK,Biotechnology
000270,KR7000270009,기아,KOSPI,,87700,1,400,0.46,87700,88500,87000,280839,24652005700,348758,397672632,STK,Automobiles
105560,KR7105560007,KB금융,KOSPI,,82300,2,-100,-0.12,82400,82600,81400,222101,18237038950,323873,393528423,STK,Commercial Banks
329180,KR7329180004,HD현대중공업,KOSPI,,352500,2,-7000,-1.95,355500,358000,347000,198085,69622795250,312925,88773116,STK,Shipbuilding
035420,KR7035420009,NAVER,KOSPI,,188300,1,800,0.43,189100,190800,187600,172540,32601931450,298336,158437008,STK,Internet Services
055550,KR7055550008,신한지주,KOSPI,,48350,1,700,1.47,47650,48400,47650,540228,25980324150,243415,503445325,STK,Commercial Banks
042660,KR7042660001,한화오션,KOSPI,,77400,2,-1000,-1.28,79200,79200,76600,980543,75938183500,237163,306413394,STK,Shipbuilding
012330,KR7012330007,현대모비스,KOSPI,,242500,2,-1000,-0.41,244000,247000,241500,61494,14984786500,225513,92995094,STK,Auto Components
138040,KR7138040001,메리츠금융지주,KOSPI,,115000,1,500,0.44,114200,115500,114100,60701,6966871800,212323,184629173,STK,Capital Markets
005490,KR7005490008,POSCO홀딩스,KOSPI,,250500,2,-2500,-0.99,252500,255000,250000,79566,20029044500,202737,80932952,STK,Metal & Mining
028260,KR7028260008,삼성물산,KOSPI,,114000,2,-400,-0.35,114700,115300,113600,50198,5735844650,193773,169976544,STK,Industrial Conglomerates
259960,KR7259960003,크래프톤,KOSPI,,384000,2,-2000,-0.52,386000,391000,381500,54855,21250559500,183978,47911049,STK,Game Software
035720,KR7035720002,카카오,KOSPI,,38900,2,-100,-0.26,39250,39350,38750,355571,13895173825,172666,443872400,STK,Internet Services
086790,KR7086790003,하나금융지주,KOSPI,,59400,1,600,1.02,59100,59600,58900,183725,10887442650,170621,287240880,STK,Commercial Banks
011200,KR7011200003,HMM,KOSPI,,18850,2,-500,-2.58,19380,19390,18810,1033364,19665527085,166075,881039496,STK,Marine
000810,KR7000810002,삼성화재,KOSPI,,350500,2,-1500,-0.43,352000,352500,348500,10181,3567519250,166048,47374837,STK,Insurance
034020,KR7034020008,두산에너빌리티,KOSPI,,25850,2,-100,-0.39,26550,26600,25850,4006643,104969585550,165585,640561146,STK,Machinery
015760,KR7015760002,한국전력,KOSPI,,25150,1,850,3.5,24450,25250,24350,2433059,61003712100,161453,641964077,STK,Eletric Utilities
032830,KR7032830002,삼성생명,KOSPI,,79400,2,-200,-0.25,79600,80300,79100,30981,2467051100,158800,200000000,STK,Insurance
009540,KR7009540006,HD한국조선해양,KOSPI,,220000,2,-6000,-2.65,224500,227500,217500,116043,25557840500,155700,70773116,STK,Shipbuilding
051910,KR7051910008,LG화학,KOSPI,,216500,2,-4000,-1.81,219500,222000,216000,80266,17546796750,152832,70592343,STK,Chemicals
010130,KR7010130003,고려아연,KOSPI,,680000,1,1000,0.15,680000,688000,675000,5350,3648181500,140782,20703283,STK,Metal & Mining
096770,KR7096770003,SK이노베이션,KOSPI,,92500,2,-1100,-1.18,93600,94100,92500,119357,11102060200,139707,151034776,STK,"Oil, Gas & consumable Fuels"
033780,KR7033780008,KT&G,KOSPI,,110000,1,400,0.36,109500,110300,109300,87746,9627428900,134268,122062497,STK,Tobacco
316140,KR7316140003,우리금융지주,KOSPI,,16960,1,180,1.07,16780,17000,16760,1015640,17201153140,125943,742591501,STK,Commercial Banks
030200,KR7030200000,KT,KOSPI,,49250,1,50,0.1,49600,49600,49200,72035,3560176000,124120,252021685,STK,Wireless Telecommunication Services
064350,KR7064350002,현대로템,KOSPI,,113600,2,-1100,-0.96,118000,118000,111500,639299,73162951050,123985,109142293,STK,Transportation Infrastructure
017670,KR7017670001,SK텔레콤,KOSPI,,57600,2,-100,-0.17,57700,57900,57600,76064,4391993900,123719,214790053,STK,Wireless Telecommunication Services
010140,KR7010140002,삼성중공업,KOSPI,,13985,2,-535,-3.68,14520,14530,13920,6953695,97773306455,123068,880000000,STK,Shipbuilding
006400,KR7006400006,삼성SDI,KOSPI,,177100,2,-2900,-1.61,179000,180500,177000,111660,19914612650,121781,68764530,STK,Electtronic Equipment & Instruments
267260,KR7267260008,HD현대일렉트릭,KOSPI,,333000,1,2500,0.76,329000,336500,319000,163844,53616369000,120036,36047135,STK,Electrical Equipment
024110,KR7024110009,기업은행,KOSPI,,14620,1,40,0.27,14590,14640,14580,190993,2791481305,116583,797425869,STK,Commercial Banks
066570,KR7066570003,LG전자,KOSPI,,70000,2,-100,-0.14,70200,70800,69500,129651,9114649700,114553,163647814,STK,Household Durables
402340,KR7402340004,SK스퀘어,KOSPI,,83600,1,1200,1.46,82400,84500,81800,68032,5680889450,111646,133548056,STK,Industrial Conglomerates
323410,KR7323410001,카카오뱅크,KOSPI,,20950,2,-150,-0.71,21050,21200,20950,100358,2109865175,99926,476976137,STK,Commercial Banks
003550,KR7003550001,LG,KOSPI,,62800,2,-400,-0.63,63200,63600,62500,25693,1619158750,98785,157300993,STK,Industrial Conglomerates
003670,KR7003670007,포스코퓨처엠,KOSPI,,125400,2,-1200,-0.95,126700,128300,125300,61604,7783284500,97138,77463220,STK,Chemicals
352820,KR7352820005,하이브,KOSPI,,231000,1,500,0.22,233000,236000,230500,87423,20375035750,96216,41652097,STK,Media
000100,KR7000100008,유한양행,KOSPI,,115200,2,-200,-0.17,115800,117000,114900,141119,16348466050,92400,80209064,STK,Pharmaceuticals
034730,KR7034730002,SK,KOSPI,,126500,1,1300,1.04,124700,127800,124700,51539,6518798850,91715,72502703,STK,"Oil, Gas & consumable Fuels"
018260,KR7018260000,삼성에스디에스,KOSPI,,116800,1,400,0.34,116800,117500,116000,19275,2251445850,90377,77377800,STK,IT Services
009150,KR7009150004,삼성전기,KOSPI,,120500,2,-500,-0.41,120600,121600,120200,80139,9677585450,90005,74693696,STK,Electtronic Equipment & Instruments
